Metric,City,Estimate,Group,Estimate Margin of Error
"('Total population',)","Albuquerque city, New Mexico","547,585",total_number_of_races_reported,±69
"('Total population',)","Austin city, Texas","795,518",total_number_of_races_reported,±62
"('Total population',)","Baltimore city, Maryland","620,583",total_number_of_races_reported,*****
"('Total population',)","Boston city, Massachusetts","621,383",total_number_of_races_reported,"±2,359"
"('Total population',)","Charlotte city, North Carolina","734,418",total_number_of_races_reported,±91
"('Total population',)","Chicago city, Illinois","2,698,831",total_number_of_races_reported,±46
"('Total population',)","Columbus city, Ohio","789,939",total_number_of_races_reported,"±3,041"
"('Total population',)","Dallas city, Texas","1,202,797",total_number_of_races_reported,±263
"('Total population',)","Denver city, Colorado","604,414",total_number_of_races_reported,*****
"('Total population',)","Detroit city, Michigan","711,910",total_number_of_races_reported,±89
"('Total population',)","El Paso city, Texas","652,113",total_number_of_races_reported,±69
"('Total population',)","Fort Worth city, Texas","744,114",total_number_of_races_reported,"±1,809"
"('Total population',)","Houston city, Texas","2,107,208",total_number_of_races_reported,±880
"('Total population',)","Indianapolis city (balance), Indiana","824,199",total_number_of_races_reported,"±3,852"
"('Total population',)","Jacksonville city, Florida","823,316",total_number_of_races_reported,±21
"('Total population',)","Las Vegas city, Nevada","584,641",total_number_of_races_reported,±61
"('Total population',)","Los Angeles city, California","3,797,144",total_number_of_races_reported,±74
"('Total population',)","Memphis city, Tennessee","647,870",total_number_of_races_reported,±74
"('Total population',)","Milwaukee city, Wisconsin","595,587",total_number_of_races_reported,±35
"('Total population',)","New York city, New York","8,184,899",total_number_of_races_reported,*****
"('Total population',)","Oklahoma City city, Oklahoma","582,278",total_number_of_races_reported,±213
"('Total population',)","Philadelphia city, Pennsylvania","1,528,306",total_number_of_races_reported,*****
"('Total population',)","Phoenix city, Arizona","1,449,481",total_number_of_races_reported,±142
"('Total population',)","Portland city, Oregon","585,429",total_number_of_races_reported,"±1,106"
"('Total population',)","San Antonio city, Texas","1,334,359",total_number_of_races_reported,±97
