Metric,City,Estimate,Group,Estimate Margin of Error
"('Total population',)","Albuquerque city, New Mexico","559,270",total_number_of_races_reported,±40
"('Total population',)","Austin city, Texas","947,897",total_number_of_races_reported,±69
"('Total population',)","Baltimore city, Maryland","614,664",total_number_of_races_reported,*****
"('Total population',)","Boston city, Massachusetts","672,840",total_number_of_races_reported,"±3,173"
"('Total population',)","Charlotte city, North Carolina","842,029",total_number_of_races_reported,±96
"('Total population',)","Chicago city, Illinois","2,704,965",total_number_of_races_reported,±51
"('Total population',)","Columbus city, Ohio","862,643",total_number_of_races_reported,"±3,517"
"('Total population',)","Dallas city, Texas","1,317,942",total_number_of_races_reported,±102
"('Total population',)","Denver city, Colorado","693,060",total_number_of_races_reported,*****
"('Total population',)","Detroit city, Michigan","672,829",total_number_of_races_reported,±107
"('Total population',)","El Paso city, Texas","683,088",total_number_of_races_reported,±49
"('Total population',)","Fort Worth city, Texas","855,897",total_number_of_races_reported,"±2,918"
"('Total population',)","Fresno city, California","522,021",total_number_of_races_reported,±114
"('Total population',)","Houston city, Texas","2,304,388",total_number_of_races_reported,"±2,884"
"('Total population',)","Indianapolis city (balance), Indiana","852,506",total_number_of_races_reported,"±4,892"
"('Total population',)","Jacksonville city, Florida","880,623",total_number_of_races_reported,±26
"('Total population',)","Las Vegas city, Nevada","632,916",total_number_of_races_reported,±61
"('Total population',)","Los Angeles city, California","3,976,324",total_number_of_races_reported,±60
"('Total population',)","Memphis city, Tennessee","652,752",total_number_of_races_reported,±122
"('Total population',)","Milwaukee city, Wisconsin","595,070",total_number_of_races_reported,±71
"('Total population',)","New York city, New York","8,537,673",total_number_of_races_reported,*****
"('Total population',)","Oklahoma City city, Oklahoma","638,311",total_number_of_races_reported,±73
"('Total population',)","Philadelphia city, Pennsylvania","1,567,872",total_number_of_races_reported,*****
"('Total population',)","Phoenix city, Arizona","1,615,041",total_number_of_races_reported,±96
"('Total population',)","Portland city, Oregon","639,635",total_number_of_races_reported,"±1,164"
"('Total population',)","San Antonio city, Texas","1,492,494",total_number_of_races_reported,±86
"('Total population',)","San Diego city, California","1,406,622",total_number_of_races_reported,±73
"('Total population',)","San Francisco city, California","870,887",total_number_of_races_reported,*****
"('Total population',)","San Jose city, California","1,025,373",total_number_of_races_reported,±91
"('Total population',)","Seattle city, Washington","704,358",total_number_of_races_reported,±51
"('Total population',)","Tucson city, Arizona","530,690",total_number_of_races_reported,±77
"('Total population',)","Washington city, District of Columbia","681,170",total_number_of_races_reported,*****
"('One race',)","Albuquerque city, New Mexico",96.30%,total_number_of_races_reported,±0.6
"('One race',)","Austin city, Texas",97.00%,total_number_of_races_reported,±0.4
"('One race',)","Baltimore city, Maryland",97.70%,total_number_of_races_reported,±0.5
"('One race',)","Boston city, Massachusetts",94.30%,total_number_of_races_reported,±0.9
"('One race',)","Charlotte city, North Carolina",97.40%,total_number_of_races_reported,±0.4
"('One race',)","Chicago city, Illinois",97.30%,total_number_of_races_reported,±0.2
"('One race',)","Columbus city, Ohio",96.00%,total_number_of_races_reported,±0.5
"('One race',)","Dallas city, Texas",97.00%,total_number_of_races_reported,±0.4
"('One race',)","Denver city, Colorado",96.60%,total_number_of_races_reported,±0.5
"('One race',)","Detroit city, Michigan",98.30%,total_number_of_races_reported,±0.3
"('One race',)","El Paso city, Texas",97.30%,total_number_of_races_reported,±0.7
"('One race',)","Fort Worth city, Texas",96.40%,total_number_of_races_reported,±0.6
"('One race',)","Fresno city, California",96.20%,total_number_of_races_reported,±0.8
"('One race',)","Houston city, Texas",97.80%,total_number_of_races_reported,±0.3
"('One race',)","Indianapolis city (balance), Indiana",96.60%,total_number_of_races_reported,±0.6
"('One race',)","Jacksonville city, Florida",96.10%,total_number_of_races_reported,±0.6
"('One race',)","Las Vegas city, Nevada",95.40%,total_number_of_races_reported,±0.7
"('One race',)","Los Angeles city, California",96.40%,total_number_of_races_reported,±0.2
"('One race',)","Memphis city, Tennessee",98.60%,total_number_of_races_reported,±0.4
"('One race',)","Milwaukee city, Wisconsin",95.60%,total_number_of_races_reported,±0.6
"('One race',)","New York city, New York",96.40%,total_number_of_races_reported,±0.2
"('One race',)","Oklahoma City city, Oklahoma",93.60%,total_number_of_races_reported,±0.7
"('One race',)","Philadelphia city, Pennsylvania",96.70%,total_number_of_races_reported,±0.4
"('One race',)","Phoenix city, Arizona",96.20%,total_number_of_races_reported,±0.4
"('One race',)","Portland city, Oregon",94.60%,total_number_of_races_reported,±0.6
"('One race',)","San Antonio city, Texas",97.60%,total_number_of_races_reported,±0.3
"('One race',)","San Diego city, California",95.10%,total_number_of_races_reported,±0.4
"('One race',)","San Francisco city, California",94.60%,total_number_of_races_reported,±0.4
"('One race',)","San Jose city, California",94.70%,total_number_of_races_reported,±0.6
"('One race',)","Seattle city, Washington",92.80%,total_number_of_races_reported,±0.9
