Metric,City,Estimate,Group,Estimate Margin of Error
"('Total population',)","Albuquerque city, New Mexico","555,419",total_number_of_races_reported,±47
"('Total population',)","Austin city, Texas","842,595",total_number_of_races_reported,±63
"('Total population',)","Baltimore city, Maryland","621,342",total_number_of_races_reported,*****
"('Total population',)","Boston city, Massachusetts","637,516",total_number_of_races_reported,"±2,304"
"('Total population',)","Charlotte city, North Carolina","775,208",total_number_of_races_reported,±55
"('Total population',)","Chicago city, Illinois","2,714,844",total_number_of_races_reported,±50
"('Total population',)","Columbus city, Ohio","809,890",total_number_of_races_reported,"±2,805"
"('Total population',)","Dallas city, Texas","1,241,108",total_number_of_races_reported,±86
"('Total population',)","Denver city, Colorado","634,265",total_number_of_races_reported,*****
"('Total population',)","Detroit city, Michigan","701,524",total_number_of_races_reported,±68
"('Total population',)","El Paso city, Texas","672,534",total_number_of_races_reported,±39
"('Total population',)","Fort Worth city, Texas","782,027",total_number_of_races_reported,"±4,417"
"('Total population',)","Fresno city, California","505,870",total_number_of_races_reported,±71
"('Total population',)","Houston city, Texas","2,161,686",total_number_of_races_reported,"±2,285"
"('Total population',)","Indianapolis city (balance), Indiana","835,806",total_number_of_races_reported,"±3,492"
"('Total population',)","Jacksonville city, Florida","836,507",total_number_of_races_reported,±25
"('Total population',)","Las Vegas city, Nevada","596,440",total_number_of_races_reported,±87
"('Total population',)","Los Angeles city, California","3,857,786",total_number_of_races_reported,±56
"('Total population',)","Memphis city, Tennessee","655,141",total_number_of_races_reported,±74
"('Total population',)","Milwaukee city, Wisconsin","598,920",total_number_of_races_reported,±39
"('Total population',)","New York city, New York","8,336,697",total_number_of_races_reported,*****
"('Total population',)","Oklahoma City city, Oklahoma","599,309",total_number_of_races_reported,±270
"('Total population',)","Philadelphia city, Pennsylvania","1,547,607",total_number_of_races_reported,*****
"('Total population',)","Phoenix city, Arizona","1,488,759",total_number_of_races_reported,±90
"('Total population',)","Portland city, Oregon","603,650",total_number_of_races_reported,"±1,589"
"('Total population',)","San Antonio city, Texas","1,383,194",total_number_of_races_reported,±440
"('Total population',)","San Diego city, California","1,338,354",total_number_of_races_reported,±71
"('Total population',)","San Francisco city, California","825,863",total_number_of_races_reported,*****
"('Total population',)","San Jose city, California","982,783",total_number_of_races_reported,±81
"('Total population',)","Seattle city, Washington","634,541",total_number_of_races_reported,±58
"('Total population',)","Tucson city, Arizona","524,278",total_number_of_races_reported,±79
"('Total population',)","Washington city, District of Columbia","632,323",total_number_of_races_reported,*****
"('One race',)","Albuquerque city, New Mexico",95.80%,total_number_of_races_reported,±0.6
"('One race',)","Austin city, Texas",96.60%,total_number_of_races_reported,±0.5
"('One race',)","Baltimore city, Maryland",98.10%,total_number_of_races_reported,±0.3
"('One race',)","Boston city, Massachusetts",95.10%,total_number_of_races_reported,±0.7
"('One race',)","Charlotte city, North Carolina",97.20%,total_number_of_races_reported,±0.5
"('One race',)","Chicago city, Illinois",97.70%,total_number_of_races_reported,±0.2
"('One race',)","Columbus city, Ohio",96.30%,total_number_of_races_reported,±0.4
"('One race',)","Dallas city, Texas",98.00%,total_number_of_races_reported,±0.3
"('One race',)","Denver city, Colorado",96.50%,total_number_of_races_reported,±0.5
"('One race',)","Detroit city, Michigan",97.90%,total_number_of_races_reported,±0.4
"('One race',)","El Paso city, Texas",97.70%,total_number_of_races_reported,±0.4
"('One race',)","Fort Worth city, Texas",97.50%,total_number_of_races_reported,±0.5
"('One race',)","Fresno city, California",95.40%,total_number_of_races_reported,±0.9
"('One race',)","Houston city, Texas",98.10%,total_number_of_races_reported,±0.3
"('One race',)","Indianapolis city (balance), Indiana",97.00%,total_number_of_races_reported,±0.5
"('One race',)","Jacksonville city, Florida",96.30%,total_number_of_races_reported,±0.6
"('One race',)","Las Vegas city, Nevada",96.00%,total_number_of_races_reported,±0.6
"('One race',)","Los Angeles city, California",96.30%,total_number_of_races_reported,±0.2
"('One race',)","Memphis city, Tennessee",98.40%,total_number_of_races_reported,±0.4
"('One race',)","Milwaukee city, Wisconsin",96.60%,total_number_of_races_reported,±0.5
"('One race',)","New York city, New York",97.00%,total_number_of_races_reported,±0.1
"('One race',)","Oklahoma City city, Oklahoma",92.70%,total_number_of_races_reported,±0.7
"('One race',)","Philadelphia city, Pennsylvania",97.10%,total_number_of_races_reported,±0.3
"('One race',)","Phoenix city, Arizona",97.20%,total_number_of_races_reported,±0.3
"('One race',)","Portland city, Oregon",95.80%,total_number_of_races_reported,±0.5
"('One race',)","San Antonio city, Texas",97.40%,total_number_of_races_reported,±0.3
"('One race',)","San Diego city, California",95.40%,total_number_of_races_reported,±0.4
"('One race',)","San Francisco city, California",95.30%,total_number_of_races_reported,±0.5
"('One race',)","San Jose city, California",95.40%,total_number_of_races_reported,±0.5
"('One race',)","Seattle city, Washington",94.10%,total_number_of_races_reported,±0.7
"('One race',)","Tucson city, Arizona",95.70%,total_number_of_races_reported,±0.7
"('One race',)","Washington city, District of Columbia",97.50%,total_number_of_races_reported,±0.4
"('Two races',)","Albuquerque city, New Mexico",3.90%,total_number_of_races_reported,±0.6
"('Two races',)","Austin city, Texas",3.30%,total_number_of_races_reported,±0.5
"('Two races',)","Baltimore city, Maryland",1.70%,total_number_of_races_reported,±0.3
"('Two races',)","Boston city, Massachusetts",4.70%,total_number_of_races_reported,±0.7
"('Two races',)","Charlotte city, North Carolina",2.60%,total_number_of_races_reported,±0.5
"('Two races',)","Chicago city, Illinois",2.10%,total_number_of_races_reported,±0.2
"('Two races',)","Columbus city, Ohio",3.40%,total_number_of_races_reported,±0.4
"('Two races',)","Dallas city, Texas",1.80%,total_number_of_races_reported,±0.3
"('Two races',)","Denver city, Colorado",3.30%,total_number_of_races_reported,±0.5
"('Two races',)","Detroit city, Michigan",1.90%,total_number_of_races_reported,±0.4
"('Two races',)","El Paso city, Texas",2.00%,total_number_of_races_reported,±0.3
"('Two races',)","Fort Worth city, Texas",2.40%,total_number_of_races_reported,±0.5
"('Two races',)","Fresno city, California",4.10%,total_number_of_races_reported,±0.7
"('Two races',)","Houston city, Texas",1.80%,total_number_of_races_reported,±0.2
"('Two races',)","Indianapolis city (balance), Indiana",2.90%,total_number_of_races_reported,±0.5
"('Two races',)","Jacksonville city, Florida",3.30%,total_number_of_races_reported,±0.5
