Metric,City,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
"('Total housing units',)","Albuquerque city, New Mexico","240,818","±2,108","240,818",(X)
"('Total housing units',)","Anaheim city, California","104,826","±3,536","104,826",(X)
"('Total housing units',)","Anchorage municipality, Alaska","113,639",±430,"113,639",(X)
"('Total housing units',)","Arlington city, Texas","147,340","±3,537","147,340",(X)
"('Total housing units',)","Atlanta city, Georgia","224,431","±4,297","224,431",(X)
"('Total housing units',)","Aurora city, Colorado","131,839","±2,637","131,839",(X)
"('Total housing units',)","Austin city, Texas","360,518","±3,989","360,518",(X)
"('Total housing units',)","Bakersfield city, California","119,391","±2,659","119,391",(X)
"('Total housing units',)","Baltimore city, Maryland","296,074","±2,236","296,074",(X)
"('Total housing units',)","Boston city, Massachusetts","270,233","±2,214","270,233",(X)
"('Total housing units',)","Charlotte city, North Carolina","326,818","±3,419","326,818",(X)
"('Total housing units',)","Chicago city, Illinois","1,189,074","±6,817","1,189,074",(X)
"('Total housing units',)","Cincinnati city, Ohio","159,676","±2,991","159,676",(X)
"('Total housing units',)","Cleveland city, Ohio","210,658","±3,794","210,658",(X)
"('Total housing units',)","Colorado Springs city, Colorado","180,801","±2,602","180,801",(X)
"('Total housing units',)","Columbus city, Ohio","380,910","±3,629","380,910",(X)
"('Total housing units',)","Corpus Christi city, Texas","126,054","±1,671","126,054",(X)
"('Total housing units',)","Dallas city, Texas","525,228","±5,100","525,228",(X)
"('Total housing units',)","Denver city, Colorado","288,191","±1,357","288,191",(X)
"('Total housing units',)","Detroit city, Michigan","366,641","±3,987","366,641",(X)
"('Total housing units',)","Durham city, North Carolina","107,490","±1,541","107,490",(X)
"('Total housing units',)","El Paso city, Texas","235,023","±2,114","235,023",(X)
"('Total housing units',)","Fort Worth city, Texas","296,061","±4,693","296,061",(X)
"('Total housing units',)","Fresno city, California","175,406","±3,314","175,406",(X)
"('Total housing units',)","Greensboro city, North Carolina","124,850","±2,698","124,850",(X)
"('Total housing units',)","Henderson city, Nevada","112,496","±3,407","112,496",(X)
"('Total housing units',)","Houston city, Texas","911,259","±7,601","911,259",(X)
"('Total housing units',)","Indianapolis city (balance), Indiana","382,413","±2,333","382,413",(X)
"('Total housing units',)","Irvine city, California","87,930","±3,345","87,930",(X)
"('Total housing units',)","Jacksonville city, Florida","368,355","±1,803","368,355",(X)
"('Total housing units',)","Jersey City city, New Jersey","110,003","±2,897","110,003",(X)
"('Total housing units',)","Kansas City city, Missouri","228,587","±3,627","228,587",(X)
"('Total housing units',)","Las Vegas city, Nevada","250,796","±4,685","250,796",(X)
"('Total housing units',)","Lincoln city, Nebraska","112,045","±1,164","112,045",(X)
"('Total housing units',)","Long Beach city, California","173,345","±4,391","173,345",(X)
"('Total housing units',)","Los Angeles city, California","1,429,433","±8,470","1,429,433",(X)
"('Total housing units',)","Memphis city, Tennessee","296,840","±3,327","296,840",(X)
"('Total housing units',)","Mesa city, Arizona","200,820","±4,416","200,820",(X)
"('Total housing units',)","Miami city, Florida","189,268","±4,647","189,268",(X)
"('Total housing units',)","Milwaukee city, Wisconsin","257,076","±3,085","257,076",(X)
"('Total housing units',)","Minneapolis city, Minnesota","179,198","±3,289","179,198",(X)
"('Total housing units',)","New Orleans city, Louisiana","191,251",±799,"191,251",(X)
"('Total housing units',)","New York city, New York","3,385,281","±3,249","3,385,281",(X)
"('Total housing units',)","Newark city, New Jersey","109,016","±2,957","109,016",(X)
"('Total housing units',)","Oakland city, California","171,094","±3,178","171,094",(X)
"('Total housing units',)","Oklahoma City city, Oklahoma","260,339","±2,437","260,339",(X)
"('Total housing units',)","Omaha city, Nebraska","181,423","±1,641","181,423",(X)
"('Total housing units',)","Orlando city, Florida","122,512","±4,359","122,512",(X)
"('Total housing units',)","Philadelphia city, Pennsylvania","668,247","±1,811","668,247",(X)
"('Total housing units',)","Phoenix city, Arizona","596,762","±6,808","596,762",(X)
"('Total housing units',)","Pittsburgh city, Pennsylvania","152,391","±3,424","152,391",(X)
"('Total housing units',)","Plano city, Texas","105,489","±3,077","105,489",(X)
"('Total housing units',)","Portland city, Oregon","265,196","±2,714","265,196",(X)
"('Total housing units',)","Raleigh city, North Carolina","178,290","±3,524","178,290",(X)
"('Total housing units',)","Riverside city, California","97,462","±3,263","97,462",(X)
"('Total housing units',)","Sacramento city, California","192,172","±3,977","192,172",(X)
"('Total housing units',)","San Antonio city, Texas","534,347","±3,959","534,347",(X)
"('Total housing units',)","San Diego city, California","513,200","±5,577","513,200",(X)
"('Total housing units',)","San Francisco city, California","376,899","±1,449","376,899",(X)
"('Total housing units',)","San Jose city, California","320,715","±3,894","320,715",(X)
"('Total housing units',)","Santa Ana city, California","74,142","±2,690","74,142",(X)
"('Total housing units',)","Seattle city, Washington","309,612","±5,044","309,612",(X)
"('Total housing units',)","St. Louis city, Missouri","175,226",±752,"175,226",(X)
"('Total housing units',)","St. Paul city, Minnesota","118,958","±2,004","118,958",(X)
"('Total housing units',)","Stockton city, California","99,854","±2,462","99,854",(X)
"('Total housing units',)","Tampa city, Florida","159,237","±3,498","159,237",(X)
"('Total housing units',)","Tucson city, Arizona","230,975","±4,107","230,975",(X)
"('Total housing units',)","Tulsa city, Oklahoma","187,019","±2,032","187,019",(X)
"('Total housing units',)","Virginia Beach city, Virginia","179,690",±691,"179,690",(X)
"('Total housing units',)","Washington city, District of Columbia","300,247",±68,"300,247",(X)
"('Total housing units',)","Wichita city, Kansas","168,287","±2,040","168,287",(X)
"('Occupied housing units',)","Albuquerque city, New Mexico","224,301","±2,994",93.10%,±1.0
"('Occupied housing units',)","Anaheim city, California","98,156","±3,276",93.60%,±1.4
"('Occupied housing units',)","Anchorage municipality, Alaska","105,569","±1,780",92.90%,±1.5
"('Occupied housing units',)","Arlington city, Texas","132,941","±3,236",90.20%,±1.5
"('Occupied housing units',)","Atlanta city, Georgia","183,442","±4,525",81.70%,±1.3
"('Occupied housing units',)","Aurora city, Colorado","123,327","±2,518",93.50%,±1.1
"('Occupied housing units',)","Austin city, Texas","330,838","±4,711",91.80%,±0.9
"('Occupied housing units',)","Bakersfield city, California","111,053","±2,739",93.00%,±1.5
"('Occupied housing units',)","Baltimore city, Maryland","244,397","±3,814",82.50%,±1.0
"('Occupied housing units',)","Boston city, Massachusetts","247,254","±3,859",91.50%,±1.0
"('Occupied housing units',)","Charlotte city, North Carolina","295,863","±4,105",90.50%,±1.1
"('Occupied housing units',)","Chicago city, Illinois","1,032,074","±6,757",86.80%,±0.5
"('Occupied housing units',)","Cincinnati city, Ohio","130,255","±2,747",81.60%,±1.3
"('Occupied housing units',)","Cleveland city, Ohio","162,717","±4,028",77.20%,±1.2
"('Occupied housing units',)","Colorado Springs city, Colorado","168,699","±2,869",93.30%,±1.1
"('Occupied housing units',)","Columbus city, Ohio","329,502","±4,256",86.50%,±1.0
"('Occupied housing units',)","Corpus Christi city, Texas","111,078","±2,603",88.10%,±1.8
"('Occupied housing units',)","Dallas city, Texas","463,719","±5,838",88.30%,±0.8
"('Occupied housing units',)","Denver city, Colorado","270,439","±2,772",93.80%,±0.8
"('Occupied housing units',)","Detroit city, Michigan","253,073","±4,212",69.00%,±0.9
"('Occupied housing units',)","Durham city, North Carolina","99,680","±1,897",92.70%,±1.3
"('Occupied housing units',)","El Paso city, Texas","219,578","±2,697",93.40%,±1.1
"('Occupied housing units',)","Fort Worth city, Texas","268,919","±5,025",90.80%,±1.1
"('Occupied housing units',)","Fresno city, California","162,149","±3,174",92.40%,±1.0
"('Occupied housing units',)","Greensboro city, North Carolina","112,287","±2,903",89.90%,±1.6
"('Occupied housing units',)","Henderson city, Nevada","100,083","±2,970",89.00%,±1.6
"('Occupied housing units',)","Houston city, Texas","780,364","±9,306",85.60%,±0.7
"('Occupied housing units',)","Indianapolis city (balance), Indiana","330,478","±3,663",86.40%,±0.9
"('Occupied housing units',)","Irvine city, California","82,613","±2,984",94.00%,±1.7
"('Occupied housing units',)","Jacksonville city, Florida","309,087","±4,957",83.90%,±1.3
"('Occupied housing units',)","Jersey City city, New Jersey","97,144","±2,590",88.30%,±1.6
"('Occupied housing units',)","Kansas City city, Missouri","192,367","±3,215",84.20%,±1.2
"('Occupied housing units',)","Las Vegas city, Nevada","216,779","±4,260",86.40%,±1.1
"('Occupied housing units',)","Lincoln city, Nebraska","106,373","±1,960",94.90%,±1.3
"('Occupied housing units',)","Long Beach city, California","164,220","±3,709",94.70%,±1.0
"('Occupied housing units',)","Los Angeles city, California","1,332,587","±8,853",93.20%,±0.3
"('Occupied housing units',)","Memphis city, Tennessee","247,478","±3,642",83.40%,±1.1
"('Occupied housing units',)","Mesa city, Arizona","167,435","±3,848",83.40%,±1.3
"('Occupied housing units',)","Miami city, Florida","153,740","±4,031",81.20%,±1.5
"('Occupied housing units',)","Milwaukee city, Wisconsin","230,960","±3,374",89.80%,±0.8
"('Occupied housing units',)","Minneapolis city, Minnesota","165,854","±3,196",92.60%,±1.0
"('Occupied housing units',)","New Orleans city, Louisiana","151,735","±2,526",79.30%,±1.3
"('Occupied housing units',)","New York city, New York","3,085,814","±9,466",91.20%,±0.3
"('Occupied housing units',)","Newark city, New Jersey","92,479","±2,473",84.80%,±1.3
