Metric,City,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
"('Total housing units',)","Albuquerque city, New Mexico","256,814","±2,299","256,814",(X)
"('Total housing units',)","Anaheim city, California","110,319","±3,231","110,319",(X)
"('Total housing units',)","Anchorage municipality, Alaska","119,808",±653,"119,808",(X)
"('Total housing units',)","Arlington city, Texas","156,653","±5,087","156,653",(X)
"('Total housing units',)","Atlanta city, Georgia","253,355","±5,916","253,355",(X)
"('Total housing units',)","Aurora city, Colorado","149,636","±3,371","149,636",(X)
"('Total housing units',)","Austin city, Texas","469,156","±6,990","469,156",(X)
"('Total housing units',)","Bakersfield city, California","134,270","±3,483","134,270",(X)
"('Total housing units',)","Baltimore city, Maryland","293,487","±1,685","293,487",(X)
"('Total housing units',)","Boston city, Massachusetts","307,025","±2,891","307,025",(X)
"('Total housing units',)","Charlotte city, North Carolina","393,631","±3,480","393,631",(X)
"('Total housing units',)","Chicago city, Illinois","1,272,191","±10,075","1,272,191",(X)
"('Total housing units',)","Cincinnati city, Ohio","160,420","±4,032","160,420",(X)
"('Total housing units',)","Cleveland city, Ohio","202,735","±4,511","202,735",(X)
"('Total housing units',)","Colorado Springs city, Colorado","205,380","±3,006","205,380",(X)
"('Total housing units',)","Columbus city, Ohio","422,120","±4,966","422,120",(X)
"('Total housing units',)","Corpus Christi city, Texas","137,431","±2,184","137,431",(X)
"('Total housing units',)","Dallas city, Texas","591,773","±7,965","591,773",(X)
"('Total housing units',)","Denver city, Colorado","351,829",±978,"351,829",(X)
"('Total housing units',)","Detroit city, Michigan","322,906","±4,766","322,906",(X)
"('Total housing units',)","Durham city, North Carolina","131,917","±1,868","131,917",(X)
"('Total housing units',)","El Paso city, Texas","261,779","±2,871","261,779",(X)
"('Total housing units',)","Fort Worth city, Texas","361,341","±6,713","361,341",(X)
"('Total housing units',)","Fresno city, California","188,756","±3,250","188,756",(X)
"('Total housing units',)","Greensboro city, North Carolina","139,565","±3,225","139,565",(X)
"('Total housing units',)","Henderson city, Nevada","132,088","±3,644","132,088",(X)
"('Total housing units',)","Houston city, Texas","1,028,763","±10,230","1,028,763",(X)
"('Total housing units',)","Indianapolis city (balance), Indiana","399,820","±2,480","399,820",(X)
"('Total housing units',)","Irvine city, California","122,260","±5,673","122,260",(X)
"('Total housing units',)","Jacksonville city, Florida","422,315","±3,351","422,315",(X)
"('Total housing units',)","Jersey City city, New Jersey","131,609","±3,580","131,609",(X)
"('Total housing units',)","Kansas City city, Missouri","243,950","±4,034","243,950",(X)
"('Total housing units',)","Las Vegas city, Nevada","269,602","±4,527","269,602",(X)
"('Total housing units',)","Lexington-Fayette urban county, Kentucky","147,590","±1,002","147,590",(X)
"('Total housing units',)","Lincoln city, Nebraska","126,262","±1,224","126,262",(X)
"('Total housing units',)","Long Beach city, California","179,856","±4,443","179,856",(X)
"('Total housing units',)","Los Angeles city, California","1,542,391","±9,733","1,542,391",(X)
"('Total housing units',)","Memphis city, Tennessee","288,491","±4,648","288,491",(X)
"('Total housing units',)","Mesa city, Arizona","221,995","±5,732","221,995",(X)
"('Total housing units',)","Miami city, Florida","219,775","±5,651","219,775",(X)
"('Total housing units',)","Milwaukee city, Wisconsin","257,812","±3,165","257,812",(X)
"('Total housing units',)","Minneapolis city, Minnesota","203,633","±4,178","203,633",(X)
"('Total housing units',)","Nashville-Davidson metropolitan government (balance), Tennessee","331,262","±1,908","331,262",(X)
"('Total housing units',)","New Orleans city, Louisiana","194,701",±859,"194,701",(X)
"('Total housing units',)","New York city, New York","3,641,931","±2,894","3,641,931",(X)
"('Total housing units',)","Newark city, New Jersey","122,145","±3,802","122,145",(X)
"('Total housing units',)","Oakland city, California","186,660","±4,202","186,660",(X)
"('Total housing units',)","Oklahoma City city, Oklahoma","302,241","±4,267","302,241",(X)
"('Total housing units',)","Omaha city, Nebraska","212,802","±1,693","212,802",(X)
"('Total housing units',)","Orlando city, Florida","149,940","±5,158","149,940",(X)
"('Total housing units',)","Philadelphia city, Pennsylvania","733,015","±2,013","733,015",(X)
"('Total housing units',)","Phoenix city, Arizona","644,625","±7,668","644,625",(X)
"('Total housing units',)","Pittsburgh city, Pennsylvania","159,435","±5,069","159,435",(X)
"('Total housing units',)","Plano city, Texas","114,797","±3,481","114,797",(X)
"('Total housing units',)","Portland city, Oregon","303,483","±3,047","303,483",(X)
"('Total housing units',)","Raleigh city, North Carolina","217,866","±4,672","217,866",(X)
"('Total housing units',)","Riverside city, California","94,246","±2,944","94,246",(X)
"('Total housing units',)","Sacramento city, California","210,715","±4,391","210,715",(X)
"('Total housing units',)","San Antonio city, Texas","603,670","±6,093","603,670",(X)
"('Total housing units',)","San Diego city, California","555,456","±7,850","555,456",(X)
"('Total housing units',)","San Francisco city, California","412,269","±1,484","412,269",(X)
"('Total housing units',)","San Jose city, California","340,561","±4,585","340,561",(X)
"('Total housing units',)","Santa Ana city, California","80,604","±2,558","80,604",(X)
"('Total housing units',)","Seattle city, Washington","384,799","±5,658","384,799",(X)
"('Total housing units',)","St. Louis city, Missouri","173,493",±644,"173,493",(X)
"('Total housing units',)","St. Paul city, Minnesota","131,275","±2,691","131,275",(X)
"('Total housing units',)","Stockton city, California","102,642","±3,106","102,642",(X)
"('Total housing units',)","Tampa city, Florida","172,886","±3,935","172,886",(X)
"('Total housing units',)","Tucson city, Arizona","242,816","±4,430","242,816",(X)
"('Total housing units',)","Tulsa city, Oklahoma","194,402","±2,135","194,402",(X)
"('Total housing units',)","Virginia Beach city, Virginia","190,981",±740,"190,981",(X)
"('Total housing units',)","Washington city, District of Columbia","357,482",±47,"357,482",(X)
"('Total housing units',)","Wichita city, Kansas","176,357","±2,140","176,357",(X)
"('Occupied housing units',)","Albuquerque city, New Mexico","243,582","±2,744",94.80%,±0.8
"('Occupied housing units',)","Anaheim city, California","105,608","±2,960",95.70%,±1.1
"('Occupied housing units',)","Anchorage municipality, Alaska","109,584","±2,068",91.50%,±1.6
