Metric,City,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
"('Total housing units',)","Albuquerque city, New Mexico","247,716","±2,717","247,716",(X)
"('Total housing units',)","Anaheim city, California","110,647","±3,466","110,647",(X)
"('Total housing units',)","Anchorage municipality, Alaska","119,272",±490,"119,272",(X)
"('Total housing units',)","Arlington city, Texas","148,396","±4,742","148,396",(X)
"('Total housing units',)","Atlanta city, Georgia","253,597","±5,338","253,597",(X)
"('Total housing units',)","Aurora city, Colorado","141,909","±3,185","141,909",(X)
"('Total housing units',)","Austin city, Texas","442,388","±4,948","442,388",(X)
"('Total housing units',)","Bakersfield city, California","124,863","±3,248","124,863",(X)
"('Total housing units',)","Baltimore city, Maryland","293,877","±1,264","293,877",(X)
"('Total housing units',)","Boston city, Massachusetts","303,791","±3,230","303,791",(X)
"('Total housing units',)","Charlotte city, North Carolina","375,538","±3,740","375,538",(X)
"('Total housing units',)","Chicago city, Illinois","1,218,078","±10,813","1,218,078",(X)
"('Total housing units',)","Cincinnati city, Ohio","158,394","±3,662","158,394",(X)
"('Total housing units',)","Cleveland city, Ohio","207,813","±4,533","207,813",(X)
"('Total housing units',)","Colorado Springs city, Colorado","199,168","±2,237","199,168",(X)
"('Total housing units',)","Columbus city, Ohio","402,520","±5,033","402,520",(X)
"('Total housing units',)","Corpus Christi city, Texas","134,604","±1,869","134,604",(X)
"('Total housing units',)","Dallas city, Texas","589,260","±6,711","589,260",(X)
"('Total housing units',)","Denver city, Colorado","338,346",±923,"338,346",(X)
"('Total housing units',)","Detroit city, Michigan","359,623","±4,483","359,623",(X)
"('Total housing units',)","Durham city, North Carolina","124,001","±1,983","124,001",(X)
"('Total housing units',)","El Paso city, Texas","250,077","±2,758","250,077",(X)
"('Total housing units',)","Fort Worth city, Texas","346,502","±6,146","346,502",(X)
"('Total housing units',)","Fresno city, California","180,639","±3,010","180,639",(X)
"('Total housing units',)","Greensboro city, North Carolina","132,743","±3,522","132,743",(X)
"('Total housing units',)","Henderson city, Nevada","132,861","±4,042","132,861",(X)
"('Total housing units',)","Houston city, Texas","987,158","±9,121","987,158",(X)
"('Total housing units',)","Indianapolis city (balance), Indiana","384,807","±3,177","384,807",(X)
"('Total housing units',)","Irvine city, California","114,217","±4,276","114,217",(X)
"('Total housing units',)","Jacksonville city, Florida","396,542","±2,352","396,542",(X)
"('Total housing units',)","Jersey City city, New Jersey","116,602","±2,590","116,602",(X)
"('Total housing units',)","Kansas City city, Missouri","238,547","±3,712","238,547",(X)
"('Total housing units',)","Las Vegas city, Nevada","258,593","±5,987","258,593",(X)
"('Total housing units',)","Lincoln city, Nebraska","124,244","±1,141","124,244",(X)
"('Total housing units',)","Long Beach city, California","176,189","±4,761","176,189",(X)
"('Total housing units',)","Los Angeles city, California","1,532,364","±11,210","1,532,364",(X)
"('Total housing units',)","Memphis city, Tennessee","301,473","±4,146","301,473",(X)
"('Total housing units',)","Mesa city, Arizona","215,150","±5,036","215,150",(X)
"('Total housing units',)","Miami city, Florida","221,040","±6,494","221,040",(X)
"('Total housing units',)","Milwaukee city, Wisconsin","260,024","±4,009","260,024",(X)
"('Total housing units',)","Minneapolis city, Minnesota","192,708","±4,494","192,708",(X)
"('Total housing units',)","New Orleans city, Louisiana","192,236",±635,"192,236",(X)
"('Total housing units',)","New York city, New York","3,546,601","±2,871","3,546,601",(X)
"('Total housing units',)","Newark city, New Jersey","113,623","±3,536","113,623",(X)
"('Total housing units',)","Oakland city, California","182,574","±4,215","182,574",(X)
"('Total housing units',)","Oklahoma City city, Oklahoma","281,616","±3,478","281,616",(X)
"('Total housing units',)","Omaha city, Nebraska","203,034","±1,749","203,034",(X)
"('Total housing units',)","Orlando city, Florida","138,456","±5,042","138,456",(X)
"('Total housing units',)","Philadelphia city, Pennsylvania","691,653","±1,639","691,653",(X)
"('Total housing units',)","Phoenix city, Arizona","637,511","±7,460","637,511",(X)
"('Total housing units',)","Pittsburgh city, Pennsylvania","158,561","±4,198","158,561",(X)
"('Total housing units',)","Plano city, Texas","116,860","±3,222","116,860",(X)
"('Total housing units',)","Portland city, Oregon","298,837","±2,761","298,837",(X)
"('Total housing units',)","Raleigh city, North Carolina","205,534","±4,438","205,534",(X)
"('Total housing units',)","Riverside city, California","91,011","±3,139","91,011",(X)
"('Total housing units',)","Sacramento city, California","200,079","±3,877","200,079",(X)
"('Total housing units',)","San Antonio city, Texas","561,467","±4,448","561,467",(X)
"('Total housing units',)","San Diego city, California","556,735","±6,671","556,735",(X)
"('Total housing units',)","San Francisco city, California","406,399","±1,432","406,399",(X)
"('Total housing units',)","San Jose city, California","343,234","±4,703","343,234",(X)
"('Total housing units',)","Santa Ana city, California","82,990","±2,641","82,990",(X)
"('Total housing units',)","Seattle city, Washington","372,011","±5,779","372,011",(X)
"('Total housing units',)","St. Louis city, Missouri","177,400",±828,"177,400",(X)
"('Total housing units',)","St. Paul city, Minnesota","121,626","±2,783","121,626",(X)
"('Total housing units',)","Stockton city, California","104,720","±2,937","104,720",(X)
"('Total housing units',)","Tampa city, Florida","174,379","±4,384","174,379",(X)
"('Total housing units',)","Tucson city, Arizona","243,941","±3,937","243,941",(X)
"('Total housing units',)","Tulsa city, Oklahoma","187,906","±2,449","187,906",(X)
"('Total housing units',)","Virginia Beach city, Virginia","186,468",±809,"186,468",(X)
"('Total housing units',)","Washington city, District of Columbia","322,814",±133,"322,814",(X)
"('Total housing units',)","Wichita city, Kansas","172,738","±2,168","172,738",(X)
"('Occupied housing units',)","Albuquerque city, New Mexico","227,179","±3,703",91.70%,±1.3
"('Occupied housing units',)","Anaheim city, California","105,301","±3,293",95.20%,±1.3
"('Occupied housing units',)","Anchorage municipality, Alaska","105,198","±2,489",88.20%,±2.1
"('Occupied housing units',)","Arlington city, Texas","138,639","±4,153",93.40%,±1.4
"('Occupied housing units',)","Atlanta city, Georgia","223,736","±5,878",88.20%,±1.1
"('Occupied housing units',)","Aurora city, Colorado","136,443","±2,693",96.10%,±0.9
"('Occupied housing units',)","Austin city, Texas","409,903","±5,829",92.70%,±0.9
"('Occupied housing units',)","Bakersfield city, California","116,558","±3,205",93.30%,±1.7
"('Occupied housing units',)","Baltimore city, Maryland","242,694","±3,666",82.60%,±1.1
"('Occupied housing units',)","Boston city, Massachusetts","271,553","±4,551",89.40%,±1.2
"('Occupied housing units',)","Charlotte city, North Carolina","342,448","±5,660",91.20%,±1.0
"('Occupied housing units',)","Chicago city, Illinois","1,080,345","±9,304",88.70%,±0.5
"('Occupied housing units',)","Cincinnati city, Ohio","137,582","±3,335",86.90%,±1.5
"('Occupied housing units',)","Cleveland city, Ohio","171,632","±4,640",82.60%,±1.3
"('Occupied housing units',)","Colorado Springs city, Colorado","188,837","±2,803",94.80%,±1.1
"('Occupied housing units',)","Columbus city, Ohio","368,491","±5,107",91.50%,±0.9
"('Occupied housing units',)","Corpus Christi city, Texas","119,184","±3,288",88.50%,±2.2
"('Occupied housing units',)","Dallas city, Texas","518,998","±7,150",88.10%,±0.7
"('Occupied housing units',)","Denver city, Colorado","318,445","±3,441",94.10%,±1.0
"('Occupied housing units',)","Detroit city, Michigan","267,139","±4,836",74.30%,±1.0
"('Occupied housing units',)","Durham city, North Carolina","114,726","±2,575",92.50%,±1.7
"('Occupied housing units',)","El Paso city, Texas","223,076","±3,642",89.20%,±1.4
"('Occupied housing units',)","Fort Worth city, Texas","309,097","±6,094",89.20%,±1.0
"('Occupied housing units',)","Fresno city, California","172,815","±3,237",95.70%,±0.8
"('Occupied housing units',)","Greensboro city, North Carolina","118,046","±3,763",88.90%,±1.9
"('Occupied housing units',)","Henderson city, Nevada","121,285","±3,413",91.30%,±1.7
"('Occupied housing units',)","Houston city, Texas","876,504","±9,872",88.80%,±0.7
"('Occupied housing units',)","Indianapolis city (balance), Indiana","340,639","±4,213",88.50%,±0.9
"('Occupied housing units',)","Irvine city, California","104,524","±3,414",91.50%,±2.2
"('Occupied housing units',)","Jacksonville city, Florida","349,171","±4,506",88.10%,±1.1
"('Occupied housing units',)","Jersey City city, New Jersey","108,939","±2,641",93.40%,±1.4
"('Occupied housing units',)","Kansas City city, Missouri","209,768","±4,049",87.90%,±1.1
"('Occupied housing units',)","Las Vegas city, Nevada","235,628","±5,729",91.10%,±1.0
"('Occupied housing units',)","Lincoln city, Nebraska","117,726","±2,263",94.80%,±1.6
"('Occupied housing units',)","Long Beach city, California","165,689","±4,194",94.00%,±1.0
