Metric,City,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
"('Total housing units',)","Albuquerque city, New Mexico","240,461","±2,448","240,461",(X)
"('Total housing units',)","Anaheim city, California","103,304","±3,277","103,304",(X)
"('Total housing units',)","Anchorage municipality, Alaska","114,320",±380,"114,320",(X)
"('Total housing units',)","Arlington city, Texas","148,731","±4,095","148,731",(X)
"('Total housing units',)","Atlanta city, Georgia","235,865","±4,580","235,865",(X)
"('Total housing units',)","Aurora city, Colorado","133,434","±2,055","133,434",(X)
"('Total housing units',)","Austin city, Texas","392,184","±4,926","392,184",(X)
"('Total housing units',)","Bakersfield city, California","122,393","±2,922","122,393",(X)
"('Total housing units',)","Baltimore city, Maryland","297,027","±1,081","297,027",(X)
"('Total housing units',)","Boston city, Massachusetts","274,459","±2,822","274,459",(X)
"('Total housing units',)","Charlotte city, North Carolina","334,471","±2,472","334,471",(X)
"('Total housing units',)","Chicago city, Illinois","1,192,346","±8,242","1,192,346",(X)
"('Total housing units',)","Cincinnati city, Ohio","163,103","±3,590","163,103",(X)
"('Total housing units',)","Cleveland city, Ohio","209,848","±3,834","209,848",(X)
"('Total housing units',)","Colorado Springs city, Colorado","187,010","±2,522","187,010",(X)
"('Total housing units',)","Columbus city, Ohio","381,780","±3,918","381,780",(X)
"('Total housing units',)","Corpus Christi city, Texas","129,241","±1,582","129,241",(X)
"('Total housing units',)","Dallas city, Texas","540,447","±5,968","540,447",(X)
"('Total housing units',)","Denver city, Colorado","298,880","±1,016","298,880",(X)
"('Total housing units',)","Detroit city, Michigan","367,958","±4,165","367,958",(X)
"('Total housing units',)","Durham city, North Carolina","114,191","±1,428","114,191",(X)
"('Total housing units',)","El Paso city, Texas","244,766","±2,137","244,766",(X)
"('Total housing units',)","Fort Worth city, Texas","309,326","±4,309","309,326",(X)
"('Total housing units',)","Fresno city, California","178,577","±2,818","178,577",(X)
"('Total housing units',)","Greensboro city, North Carolina","127,413","±2,809","127,413",(X)
"('Total housing units',)","Henderson city, Nevada","119,423","±3,595","119,423",(X)
"('Total housing units',)","Houston city, Texas","931,083","±8,168","931,083",(X)
"('Total housing units',)","Indianapolis city (balance), Indiana","382,494","±2,399","382,494",(X)
"('Total housing units',)","Irvine city, California","94,979","±3,452","94,979",(X)
"('Total housing units',)","Jacksonville city, Florida","371,254","±2,097","371,254",(X)
"('Total housing units',)","Jersey City city, New Jersey","110,896","±2,411","110,896",(X)
"('Total housing units',)","Kansas City city, Missouri","226,206","±3,549","226,206",(X)
"('Total housing units',)","Las Vegas city, Nevada","247,144","±4,937","247,144",(X)
"('Total housing units',)","Lincoln city, Nebraska","114,052","±1,039","114,052",(X)
"('Total housing units',)","Long Beach city, California","170,977","±3,872","170,977",(X)
