Metric,City,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
"('Total housing units',)","Albuquerque city, New Mexico","241,315","±2,036","241,315",(X)
"('Total housing units',)","Anaheim city, California","104,356","±3,260","104,356",(X)
"('Total housing units',)","Anchorage municipality, Alaska","113,461",±432,"113,461",(X)
"('Total housing units',)","Arlington city, Texas","145,630","±4,110","145,630",(X)
"('Total housing units',)","Atlanta city, Georgia","221,247","±5,285","221,247",(X)
"('Total housing units',)","Aurora city, Colorado","128,531","±2,983","128,531",(X)
"('Total housing units',)","Austin city, Texas","360,291","±4,924","360,291",(X)
"('Total housing units',)","Bakersfield city, California","117,640","±3,040","117,640",(X)
"('Total housing units',)","Baltimore city, Maryland","296,481","±1,253","296,481",(X)
"('Total housing units',)","Boston city, Massachusetts","274,310","±2,922","274,310",(X)
"('Total housing units',)","Charlotte city, North Carolina","324,837","±3,427","324,837",(X)
"('Total housing units',)","Chicago city, Illinois","1,192,836","±9,191","1,192,836",(X)
"('Total housing units',)","Cincinnati city, Ohio","167,544","±3,724","167,544",(X)
"('Total housing units',)","Cleveland city, Ohio","218,647","±3,440","218,647",(X)
"('Total housing units',)","Colorado Springs city, Colorado","178,707","±2,767","178,707",(X)
"('Total housing units',)","Columbus city, Ohio","373,875","±3,506","373,875",(X)
"('Total housing units',)","Corpus Christi city, Texas","126,661","±1,497","126,661",(X)
"('Total housing units',)","Dallas city, Texas","515,515","±6,758","515,515",(X)
"('Total housing units',)","Denver city, Colorado","286,787",±901,"286,787",(X)
"('Total housing units',)","Detroit city, Michigan","360,951","±4,758","360,951",(X)
"('Total housing units',)","Durham city, North Carolina","104,921","±2,179","104,921",(X)
"('Total housing units',)","El Paso city, Texas","233,462","±2,540","233,462",(X)
"('Total housing units',)","Fort Worth city, Texas","298,058","±5,452","298,058",(X)
"('Total housing units',)","Fresno city, California","169,302","±3,645","169,302",(X)
"('Total housing units',)","Greensboro city, North Carolina","126,047","±3,079","126,047",(X)
"('Total housing units',)","Henderson city, Nevada","112,961","±5,143","112,961",(X)
"('Total housing units',)","Houston city, Texas","906,187","±8,618","906,187",(X)
"('Total housing units',)","Indianapolis city (balance), Indiana","380,390","±2,905","380,390",(X)
"('Total housing units',)","Irvine city, California","79,374","±2,969","79,374",(X)
"('Total housing units',)","Jacksonville city, Florida","367,698","±1,925","367,698",(X)
"('Total housing units',)","Jersey City city, New Jersey","110,360","±2,760","110,360",(X)
"('Total housing units',)","Kansas City city, Missouri","227,108","±3,462","227,108",(X)
"('Total housing units',)","Las Vegas city, Nevada","247,665","±6,326","247,665",(X)
"('Total housing units',)","Lincoln city, Nebraska","110,631","±1,114","110,631",(X)
"('Total housing units',)","Long Beach city, California","174,366","±4,681","174,366",(X)
"('Total housing units',)","Los Angeles city, California","1,419,777","±8,526","1,419,777",(X)
"('Total housing units',)","Memphis city, Tennessee","294,145","±3,322","294,145",(X)
"('Total housing units',)","Mesa city, Arizona","194,822","±4,949","194,822",(X)
"('Total housing units',)","Miami city, Florida","191,012","±5,735","191,012",(X)
