Metric,City,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
"('Total housing units',)","Albuquerque city, New Mexico","244,656","±2,270","244,656",(X)
"('Total housing units',)","Anaheim city, California","102,542","±3,651","102,542",(X)
"('Total housing units',)","Anchorage municipality, Alaska","117,298",±446,"117,298",(X)
"('Total housing units',)","Arlington city, Texas","145,857","±3,577","145,857",(X)
"('Total housing units',)","Atlanta city, Georgia","245,063","±5,323","245,063",(X)
"('Total housing units',)","Aurora city, Colorado","134,175","±3,060","134,175",(X)
"('Total housing units',)","Austin city, Texas","417,939","±5,982","417,939",(X)
"('Total housing units',)","Bakersfield city, California","126,624","±2,891","126,624",(X)
"('Total housing units',)","Baltimore city, Maryland","294,534","±1,285","294,534",(X)
"('Total housing units',)","Boston city, Massachusetts","293,538","±2,849","293,538",(X)
"('Total housing units',)","Charlotte city, North Carolina","359,326","±2,909","359,326",(X)
"('Total housing units',)","Chicago city, Illinois","1,212,932","±9,404","1,212,932",(X)
"('Total housing units',)","Cincinnati city, Ohio","164,944","±3,063","164,944",(X)
"('Total housing units',)","Cleveland city, Ohio","212,726","±3,703","212,726",(X)
"('Total housing units',)","Colorado Springs city, Colorado","190,025","±2,382","190,025",(X)
"('Total housing units',)","Columbus city, Ohio","391,716","±3,740","391,716",(X)
"('Total housing units',)","Corpus Christi city, Texas","131,980","±1,405","131,980",(X)
"('Total housing units',)","Dallas city, Texas","573,667","±7,118","573,667",(X)
"('Total housing units',)","Denver city, Colorado","320,551","±1,100","320,551",(X)
"('Total housing units',)","Detroit city, Michigan","363,525","±4,286","363,525",(X)
"('Total housing units',)","Durham city, North Carolina","118,995","±1,711","118,995",(X)
"('Total housing units',)","El Paso city, Texas","252,969","±2,308","252,969",(X)
"('Total housing units',)","Fort Worth city, Texas","329,779","±5,005","329,779",(X)
"('Total housing units',)","Fresno city, California","180,495","±3,094","180,495",(X)
"('Total housing units',)","Greensboro city, North Carolina","130,620","±3,205","130,620",(X)
"('Total housing units',)","Henderson city, Nevada","132,788","±3,695","132,788",(X)
"('Total housing units',)","Houston city, Texas","958,421","±9,459","958,421",(X)
"('Total housing units',)","Indianapolis city (balance), Indiana","384,967","±2,216","384,967",(X)
"('Total housing units',)","Irvine city, California","103,560","±4,014","103,560",(X)
"('Total housing units',)","Jacksonville city, Florida","382,572","±1,878","382,572",(X)
"('Total housing units',)","Jersey City city, New Jersey","114,196","±2,866","114,196",(X)
"('Total housing units',)","Kansas City city, Missouri","236,135","±3,563","236,135",(X)
"('Total housing units',)","Las Vegas city, Nevada","259,374","±4,771","259,374",(X)
"('Total housing units',)","Lincoln city, Nebraska","119,639","±1,025","119,639",(X)
"('Total housing units',)","Long Beach city, California","175,632","±4,157","175,632",(X)
"('Total housing units',)","Los Angeles city, California","1,496,661","±9,511","1,496,661",(X)
"('Total housing units',)","Memphis city, Tennessee","298,121","±3,353","298,121",(X)
"('Total housing units',)","Mesa city, Arizona","208,391","±4,813","208,391",(X)
"('Total housing units',)","Miami city, Florida","201,784","±5,066","201,784",(X)
"('Total housing units',)","Milwaukee city, Wisconsin","260,581","±3,444","260,581",(X)
"('Total housing units',)","Minneapolis city, Minnesota","188,084","±3,817","188,084",(X)
"('Total housing units',)","New Orleans city, Louisiana","191,688","±1,075","191,688",(X)
"('Total housing units',)","New York city, New York","3,497,344","±2,448","3,497,344",(X)
"('Total housing units',)","Newark city, New Jersey","113,025","±3,172","113,025",(X)
"('Total housing units',)","Oakland city, California","168,166","±3,838","168,166",(X)
"('Total housing units',)","Oklahoma City city, Oklahoma","268,953","±3,094","268,953",(X)
"('Total housing units',)","Omaha city, Nebraska","199,510","±1,546","199,510",(X)
"('Total housing units',)","Orlando city, Florida","128,403","±4,909","128,403",(X)
"('Total housing units',)","Philadelphia city, Pennsylvania","685,988","±1,730","685,988",(X)
"('Total housing units',)","Phoenix city, Arizona","618,561","±8,332","618,561",(X)
"('Total housing units',)","Pittsburgh city, Pennsylvania","158,277","±3,688","158,277",(X)
"('Total housing units',)","Plano city, Texas","113,234","±3,522","113,234",(X)
"('Total housing units',)","Portland city, Oregon","284,258","±2,780","284,258",(X)
"('Total housing units',)","Raleigh city, North Carolina","203,936","±3,572","203,936",(X)
"('Total housing units',)","Riverside city, California","91,403","±3,577","91,403",(X)
"('Total housing units',)","Sacramento city, California","199,760","±3,791","199,760",(X)
"('Total housing units',)","San Antonio city, Texas","552,520","±3,697","552,520",(X)
"('Total housing units',)","San Diego city, California","543,238","±6,269","543,238",(X)
"('Total housing units',)","San Francisco city, California","397,566","±1,185","397,566",(X)
"('Total housing units',)","San Jose city, California","338,738","±4,612","338,738",(X)
"('Total housing units',)","Santa Ana city, California","79,680","±3,053","79,680",(X)
"('Total housing units',)","Seattle city, Washington","355,293","±5,813","355,293",(X)
"('Total housing units',)","St. Louis city, Missouri","176,850",±823,"176,850",(X)
"('Total housing units',)","St. Paul city, Minnesota","118,045","±2,476","118,045",(X)
"('Total housing units',)","Stockton city, California","100,823","±3,104","100,823",(X)
"('Total housing units',)","Tampa city, Florida","175,475","±3,498","175,475",(X)
"('Total housing units',)","Tucson city, Arizona","238,999","±3,905","238,999",(X)
"('Total housing units',)","Tulsa city, Oklahoma","187,612","±2,076","187,612",(X)
"('Total housing units',)","Virginia Beach city, Virginia","184,999",±783,"184,999",(X)
"('Total housing units',)","Washington city, District of Columbia","314,843",±99,"314,843",(X)
"('Total housing units',)","Wichita city, Kansas","172,824","±1,949","172,824",(X)
"('Occupied housing units',)","Albuquerque city, New Mexico","221,418","±3,270",90.50%,±1.1
"('Occupied housing units',)","Anaheim city, California","98,734","±3,360",96.30%,±0.8
"('Occupied housing units',)","Anchorage municipality, Alaska","107,373","±1,962",91.50%,±1.7
"('Occupied housing units',)","Arlington city, Texas","131,485","±3,654",90.10%,±1.6
"('Occupied housing units',)","Atlanta city, Georgia","199,717","±5,434",81.50%,±1.6
"('Occupied housing units',)","Aurora city, Colorado","128,100","±3,000",95.50%,±0.9
"('Occupied housing units',)","Austin city, Texas","376,509","±6,217",90.10%,±0.8
"('Occupied housing units',)","Bakersfield city, California","118,508","±2,821",93.60%,±1.4
"('Occupied housing units',)","Baltimore city, Maryland","240,280","±3,634",81.60%,±1.2
"('Occupied housing units',)","Boston city, Massachusetts","268,304","±3,495",91.40%,±1.0
"('Occupied housing units',)","Charlotte city, North Carolina","331,822","±4,253",92.30%,±1.0
"('Occupied housing units',)","Chicago city, Illinois","1,047,695","±10,142",86.40%,±0.5
"('Occupied housing units',)","Cincinnati city, Ohio","140,911","±2,977",85.40%,±1.3
"('Occupied housing units',)","Cleveland city, Ohio","171,717","±3,269",80.70%,±1.2
"('Occupied housing units',)","Colorado Springs city, Colorado","181,677","±2,622",95.60%,±0.8
"('Occupied housing units',)","Columbus city, Ohio","355,414","±4,641",90.70%,±1.0
"('Occupied housing units',)","Corpus Christi city, Texas","115,797","±2,373",87.70%,±1.7
"('Occupied housing units',)","Dallas city, Texas","513,084","±5,613",89.40%,±0.8
"('Occupied housing units',)","Denver city, Colorado","296,938","±2,993",92.60%,±0.9
"('Occupied housing units',)","Detroit city, Michigan","264,360","±4,612",72.70%,±1.1
"('Occupied housing units',)","Durham city, North Carolina","110,017","±2,128",92.50%,±1.5
"('Occupied housing units',)","El Paso city, Texas","229,156","±2,764",90.60%,±1.0
"('Occupied housing units',)","Fort Worth city, Texas","299,593","±4,906",90.80%,±1.1
"('Occupied housing units',)","Fresno city, California","169,409","±3,216",93.90%,±1.1
"('Occupied housing units',)","Greensboro city, North Carolina","115,802","±3,260",88.70%,±1.5
"('Occupied housing units',)","Henderson city, Nevada","116,407","±3,038",87.70%,±1.7
