Metric,City,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
"('Total housing units',)","Albuquerque city, New Mexico","247,926",±937,"247,926",(X)
"('Total housing units',)","Anaheim city, California","108,561","±1,344","108,561",(X)
"('Total housing units',)","Anchorage municipality, Alaska","118,293",±212,"118,293",(X)
"('Total housing units',)","Arlington city, Texas","146,438","±1,900","146,438",(X)
"('Total housing units',)","Atlanta city, Georgia","250,533","±2,271","250,533",(X)
"('Total housing units',)","Aurora city, Colorado","139,091","±1,157","139,091",(X)
"('Total housing units',)","Austin city, Texas","426,899","±2,317","426,899",(X)
"('Total housing units',)","Bakersfield city, California","125,143","±1,361","125,143",(X)
"('Total housing units',)","Baltimore city, Maryland","293,936",±383,"293,936",(X)
"('Total housing units',)","Boston city, Massachusetts","298,708","±1,335","298,708",(X)
"('Total housing units',)","Charlotte city, North Carolina","367,252","±1,226","367,252",(X)
"('Total housing units',)","Chicago city, Illinois","1,217,686","±3,566","1,217,686",(X)
"('Total housing units',)","Cincinnati city, Ohio","161,166","±1,481","161,166",(X)
"('Total housing units',)","Cleveland city, Ohio","211,212","±1,600","211,212",(X)
"('Total housing units',)","Colorado Springs city, Colorado","194,008","±1,110","194,008",(X)
"('Total housing units',)","Columbus city, Ohio","395,162","±1,856","395,162",(X)
"('Total housing units',)","Corpus Christi city, Texas","132,965",±519,"132,965",(X)
"('Total housing units',)","Dallas city, Texas","581,987","±2,897","581,987",(X)
"('Total housing units',)","Denver city, Colorado","306,269",±469,"306,269",(X)
"('Total housing units',)","Detroit city, Michigan","358,145","±1,782","358,145",(X)
"('Total housing units',)","Durham city, North Carolina","122,422",±794,"122,422",(X)
"('Total housing units',)","El Paso city, Texas","252,526","±1,028","252,526",(X)
"('Total housing units',)","Fort Worth city, Texas","336,468","±2,289","336,468",(X)
"('Total housing units',)","Fresno city, California","180,020","±1,178","180,020",(X)
"('Total housing units',)","Greensboro city, North Carolina","131,171","±1,106","131,171",(X)
"('Total housing units',)","Henderson city, Nevada","131,804","±1,691","131,804",(X)
"('Total housing units',)","Houston city, Texas","982,694","±3,298","982,694",(X)
"('Total housing units',)","Indianapolis city (balance), Indiana","386,986","±1,017","386,986",(X)
"('Total housing units',)","Irvine city, California","104,553","±1,521","104,553",(X)
"('Total housing units',)","Jacksonville city, Florida","389,130",±833,"389,130",(X)
"('Total housing units',)","Jersey City city, New Jersey","113,854","±1,298","113,854",(X)
"('Total housing units',)","Kansas City city, Missouri","233,432","±1,439","233,432",(X)
"('Total housing units',)","Las Vegas city, Nevada","259,521","±2,046","259,521",(X)
"('Total housing units',)","Lexington-Fayette urban county, Kentucky","142,813",±543,"142,813",(X)
"('Total housing units',)","Lincoln city, Nebraska","122,048",±408,"122,048",(X)
"('Total housing units',)","Long Beach city, California","175,725","±1,686","175,725",(X)
"('Total housing units',)","Los Angeles city, California","1,513,791","±4,248","1,513,791",(X)
"('Total housing units',)","Memphis city, Tennessee","299,599","±1,427","299,599",(X)
"('Total housing units',)","Mesa city, Arizona","214,831","±1,768","214,831",(X)
"('Total housing units',)","Miami city, Florida","209,161","±1,857","209,161",(X)
"('Total housing units',)","Milwaukee city, Wisconsin","256,856","±1,389","256,856",(X)
"('Total housing units',)","Minneapolis city, Minnesota","190,105","±1,493","190,105",(X)
"('Total housing units',)","Nashville-Davidson metropolitan government (balance), Tennessee","309,067",±661,"309,067",(X)
"('Total housing units',)","New Orleans city, Louisiana","192,012",±339,"192,012",(X)
"('Total housing units',)","New York city, New York","3,519,595","±1,320","3,519,595",(X)
"('Total housing units',)","Newark city, New Jersey","114,410","±1,190","114,410",(X)
"('Total housing units',)","Oakland city, California","171,749","±1,603","171,749",(X)
"('Total housing units',)","Oklahoma City city, Oklahoma","276,084","±1,900","276,084",(X)
"('Total housing units',)","Omaha city, Nebraska","203,215",±742,"203,215",(X)
"('Total housing units',)","Orlando city, Florida","136,180","±1,984","136,180",(X)
"('Total housing units',)","Philadelphia city, Pennsylvania","689,121",±723,"689,121",(X)
"('Total housing units',)","Phoenix city, Arizona","626,977","±2,992","626,977",(X)
"('Total housing units',)","Pittsburgh city, Pennsylvania","159,339","±1,599","159,339",(X)
"('Total housing units',)","Plano city, Texas","113,254","±1,165","113,254",(X)
