Metric,City,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
"('Total housing units',)","Albuquerque city, New Mexico","248,681","±2,372","248,681",(X)
"('Total housing units',)","Anaheim city, California","108,802","±3,202","108,802",(X)
"('Total housing units',)","Anchorage municipality, Alaska","118,233",±522,"118,233",(X)
"('Total housing units',)","Arlington city, Texas","145,021","±4,183","145,021",(X)
"('Total housing units',)","Atlanta city, Georgia","255,433","±4,761","255,433",(X)
"('Total housing units',)","Aurora city, Colorado","138,118","±3,358","138,118",(X)
"('Total housing units',)","Austin city, Texas","425,076","±4,606","425,076",(X)
"('Total housing units',)","Bakersfield city, California","130,103","±3,369","130,103",(X)
"('Total housing units',)","Baltimore city, Maryland","293,633","±1,076","293,633",(X)
"('Total housing units',)","Boston city, Massachusetts","299,472","±2,988","299,472",(X)
"('Total housing units',)","Charlotte city, North Carolina","367,444","±3,040","367,444",(X)
"('Total housing units',)","Chicago city, Illinois","1,227,166","±8,813","1,227,166",(X)
"('Total housing units',)","Cincinnati city, Ohio","161,429","±3,823","161,429",(X)
"('Total housing units',)","Cleveland city, Ohio","213,942","±3,905","213,942",(X)
"('Total housing units',)","Colorado Springs city, Colorado","191,810","±2,592","191,810",(X)
"('Total housing units',)","Columbus city, Ohio","397,308","±3,461","397,308",(X)
"('Total housing units',)","Corpus Christi city, Texas","132,153","±1,544","132,153",(X)
"('Total housing units',)","Dallas city, Texas","590,607","±5,679","590,607",(X)
"('Total housing units',)","Denver city, Colorado","330,884","±1,011","330,884",(X)
"('Total housing units',)","Detroit city, Michigan","362,863","±4,259","362,863",(X)
"('Total housing units',)","Durham city, North Carolina","122,814","±1,517","122,814",(X)
"('Total housing units',)","El Paso city, Texas","252,256","±2,635","252,256",(X)
"('Total housing units',)","Fort Worth city, Texas","337,072","±5,513","337,072",(X)
"('Total housing units',)","Fresno city, California","183,030","±2,965","183,030",(X)
"('Total housing units',)","Greensboro city, North Carolina","132,721","±2,934","132,721",(X)
"('Total housing units',)","Henderson city, Nevada","133,080","±3,540","133,080",(X)
"('Total housing units',)","Houston city, Texas","976,745","±8,825","976,745",(X)
"('Total housing units',)","Indianapolis city (balance), Indiana","387,102","±2,725","387,102",(X)
"('Total housing units',)","Irvine city, California","108,463","±4,035","108,463",(X)
