Metric,City,Estimate,Group,Estimate Margin of Error,Percent,Percent Margin of Error
"('Total housing units',)","Albuquerque city, New Mexico","240,461",housing_occupancy,"±2,448","240,461",(X)
"('Total housing units',)","Anaheim city, California","103,304",housing_occupancy,"±3,277","103,304",(X)
"('Total housing units',)","Anchorage municipality, Alaska","114,320",housing_occupancy,±380,"114,320",(X)
"('Total housing units',)","Arlington city, Texas","148,731",housing_occupancy,"±4,095","148,731",(X)
"('Total housing units',)","Atlanta city, Georgia","235,865",housing_occupancy,"±4,580","235,865",(X)
"('Total housing units',)","Aurora city, Colorado","133,434",housing_occupancy,"±2,055","133,434",(X)
"('Total housing units',)","Austin city, Texas","392,184",housing_occupancy,"±4,926","392,184",(X)
"('Total housing units',)","Bakersfield city, California","122,393",housing_occupancy,"±2,922","122,393",(X)
"('Total housing units',)","Baltimore city, Maryland","297,027",housing_occupancy,"±1,081","297,027",(X)
"('Total housing units',)","Boston city, Massachusetts","274,459",housing_occupancy,"±2,822","274,459",(X)
"('Total housing units',)","Charlotte city, North Carolina","334,471",housing_occupancy,"±2,472","334,471",(X)
"('Total housing units',)","Chicago city, Illinois","1,192,346",housing_occupancy,"±8,242","1,192,346",(X)
"('Total housing units',)","Cincinnati city, Ohio","163,103",housing_occupancy,"±3,590","163,103",(X)
"('Total housing units',)","Cleveland city, Ohio","209,848",housing_occupancy,"±3,834","209,848",(X)
"('Total housing units',)","Colorado Springs city, Colorado","187,010",housing_occupancy,"±2,522","187,010",(X)
"('Total housing units',)","Columbus city, Ohio","381,780",housing_occupancy,"±3,918","381,780",(X)
"('Total housing units',)","Corpus Christi city, Texas","129,241",housing_occupancy,"±1,582","129,241",(X)
"('Total housing units',)","Dallas city, Texas","540,447",housing_occupancy,"±5,968","540,447",(X)
"('Total housing units',)","Denver city, Colorado","298,880",housing_occupancy,"±1,016","298,880",(X)
"('Total housing units',)","Detroit city, Michigan","367,958",housing_occupancy,"±4,165","367,958",(X)
"('Total housing units',)","Durham city, North Carolina","114,191",housing_occupancy,"±1,428","114,191",(X)
"('Total housing units',)","El Paso city, Texas","244,766",housing_occupancy,"±2,137","244,766",(X)
"('Total housing units',)","Fort Worth city, Texas","309,326",housing_occupancy,"±4,309","309,326",(X)
"('Total housing units',)","Fresno city, California","178,577",housing_occupancy,"±2,818","178,577",(X)
"('Total housing units',)","Greensboro city, North Carolina","127,413",housing_occupancy,"±2,809","127,413",(X)
"('Total housing units',)","Henderson city, Nevada","119,423",housing_occupancy,"±3,595","119,423",(X)
"('Total housing units',)","Houston city, Texas","931,083",housing_occupancy,"±8,168","931,083",(X)
"('Total housing units',)","Indianapolis city (balance), Indiana","382,494",housing_occupancy,"±2,399","382,494",(X)
"('Total housing units',)","Irvine city, California","94,979",housing_occupancy,"±3,452","94,979",(X)
"('Total housing units',)","Jacksonville city, Florida","371,254",housing_occupancy,"±2,097","371,254",(X)
"('Total housing units',)","Jersey City city, New Jersey","110,896",housing_occupancy,"±2,411","110,896",(X)
"('Total housing units',)","Kansas City city, Missouri","226,206",housing_occupancy,"±3,549","226,206",(X)
"('Total housing units',)","Las Vegas city, Nevada","247,144",housing_occupancy,"±4,937","247,144",(X)
"('Total housing units',)","Lincoln city, Nebraska","114,052",housing_occupancy,"±1,039","114,052",(X)
"('Total housing units',)","Long Beach city, California","170,977",housing_occupancy,"±3,872","170,977",(X)
"('Total housing units',)","Los Angeles city, California","1,433,123",housing_occupancy,"±8,874","1,433,123",(X)
"('Total housing units',)","Memphis city, Tennessee","300,637",housing_occupancy,"±3,089","300,637",(X)
"('Total housing units',)","Mesa city, Arizona","202,534",housing_occupancy,"±4,200","202,534",(X)
"('Total housing units',)","Miami city, Florida","191,653",housing_occupancy,"±5,003","191,653",(X)
"('Total housing units',)","Milwaukee city, Wisconsin","259,404",housing_occupancy,"±3,166","259,404",(X)
"('Total housing units',)","Minneapolis city, Minnesota","182,617",housing_occupancy,"±4,117","182,617",(X)
"('Total housing units',)","New Orleans city, Louisiana","192,472",housing_occupancy,±835,"192,472",(X)
"('Total housing units',)","New York city, New York","3,438,742",housing_occupancy,"±2,693","3,438,742",(X)
"('Total housing units',)","Newark city, New Jersey","106,616",housing_occupancy,"±2,787","106,616",(X)
"('Total housing units',)","Oakland city, California","167,945",housing_occupancy,"±3,809","167,945",(X)
"('Total housing units',)","Oklahoma City city, Oklahoma","266,902",housing_occupancy,"±3,364","266,902",(X)
"('Total housing units',)","Omaha city, Nebraska","189,952",housing_occupancy,"±1,568","189,952",(X)
"('Total housing units',)","Orlando city, Florida","127,324",housing_occupancy,"±4,381","127,324",(X)
"('Total housing units',)","Philadelphia city, Pennsylvania","670,445",housing_occupancy,"±1,724","670,445",(X)
"('Total housing units',)","Phoenix city, Arizona","603,500",housing_occupancy,"±6,781","603,500",(X)
"('Total housing units',)","Pittsburgh city, Pennsylvania","153,098",housing_occupancy,"±3,875","153,098",(X)
"('Total housing units',)","Plano city, Texas","108,910",housing_occupancy,"±3,143","108,910",(X)
"('Total housing units',)","Portland city, Oregon","270,527",housing_occupancy,"±2,814","270,527",(X)
"('Total housing units',)","Raleigh city, North Carolina","192,504",housing_occupancy,"±3,533","192,504",(X)
"('Total housing units',)","Riverside city, California","97,175",housing_occupancy,"±3,144","97,175",(X)
"('Total housing units',)","Sacramento city, California","193,062",housing_occupancy,"±4,154","193,062",(X)
"('Total housing units',)","San Antonio city, Texas","535,546",housing_occupancy,"±4,059","535,546",(X)
"('Total housing units',)","San Diego city, California","530,490",housing_occupancy,"±5,949","530,490",(X)
"('Total housing units',)","San Francisco city, California","386,610",housing_occupancy,"±1,302","386,610",(X)
