Metric,City,Estimate,Group,Estimate Margin of Error,Percent,Percent Margin of Error
"('Total housing units',)","Albuquerque city, New Mexico","256,814",housing_occupancy,"±2,299","256,814",(X)
"('Total housing units',)","Anaheim city, California","110,319",housing_occupancy,"±3,231","110,319",(X)
"('Total housing units',)","Anchorage municipality, Alaska","119,808",housing_occupancy,±653,"119,808",(X)
"('Total housing units',)","Arlington city, Texas","156,653",housing_occupancy,"±5,087","156,653",(X)
"('Total housing units',)","Atlanta city, Georgia","253,355",housing_occupancy,"±5,916","253,355",(X)
"('Total housing units',)","Aurora city, Colorado","149,636",housing_occupancy,"±3,371","149,636",(X)
"('Total housing units',)","Austin city, Texas","469,156",housing_occupancy,"±6,990","469,156",(X)
"('Total housing units',)","Bakersfield city, California","134,270",housing_occupancy,"±3,483","134,270",(X)
"('Total housing units',)","Baltimore city, Maryland","293,487",housing_occupancy,"±1,685","293,487",(X)
"('Total housing units',)","Boston city, Massachusetts","307,025",housing_occupancy,"±2,891","307,025",(X)
"('Total housing units',)","Charlotte city, North Carolina","393,631",housing_occupancy,"±3,480","393,631",(X)
"('Total housing units',)","Chicago city, Illinois","1,272,191",housing_occupancy,"±10,075","1,272,191",(X)
"('Total housing units',)","Cincinnati city, Ohio","160,420",housing_occupancy,"±4,032","160,420",(X)
"('Total housing units',)","Cleveland city, Ohio","202,735",housing_occupancy,"±4,511","202,735",(X)
"('Total housing units',)","Colorado Springs city, Colorado","205,380",housing_occupancy,"±3,006","205,380",(X)
"('Total housing units',)","Columbus city, Ohio","422,120",housing_occupancy,"±4,966","422,120",(X)
"('Total housing units',)","Corpus Christi city, Texas","137,431",housing_occupancy,"±2,184","137,431",(X)
"('Total housing units',)","Dallas city, Texas","591,773",housing_occupancy,"±7,965","591,773",(X)
"('Total housing units',)","Denver city, Colorado","351,829",housing_occupancy,±978,"351,829",(X)
"('Total housing units',)","Detroit city, Michigan","322,906",housing_occupancy,"±4,766","322,906",(X)
"('Total housing units',)","Durham city, North Carolina","131,917",housing_occupancy,"±1,868","131,917",(X)
"('Total housing units',)","El Paso city, Texas","261,779",housing_occupancy,"±2,871","261,779",(X)
"('Total housing units',)","Fort Worth city, Texas","361,341",housing_occupancy,"±6,713","361,341",(X)
"('Total housing units',)","Fresno city, California","188,756",housing_occupancy,"±3,250","188,756",(X)
"('Total housing units',)","Greensboro city, North Carolina","139,565",housing_occupancy,"±3,225","139,565",(X)
"('Total housing units',)","Henderson city, Nevada","132,088",housing_occupancy,"±3,644","132,088",(X)
"('Total housing units',)","Houston city, Texas","1,028,763",housing_occupancy,"±10,230","1,028,763",(X)
"('Total housing units',)","Indianapolis city (balance), Indiana","399,820",housing_occupancy,"±2,480","399,820",(X)
"('Total housing units',)","Irvine city, California","122,260",housing_occupancy,"±5,673","122,260",(X)
"('Total housing units',)","Jacksonville city, Florida","422,315",housing_occupancy,"±3,351","422,315",(X)
"('Total housing units',)","Jersey City city, New Jersey","131,609",housing_occupancy,"±3,580","131,609",(X)
"('Total housing units',)","Kansas City city, Missouri","243,950",housing_occupancy,"±4,034","243,950",(X)
"('Total housing units',)","Las Vegas city, Nevada","269,602",housing_occupancy,"±4,527","269,602",(X)
"('Total housing units',)","Lexington-Fayette urban county, Kentucky","147,590",housing_occupancy,"±1,002","147,590",(X)
"('Total housing units',)","Lincoln city, Nebraska","126,262",housing_occupancy,"±1,224","126,262",(X)
"('Total housing units',)","Long Beach city, California","179,856",housing_occupancy,"±4,443","179,856",(X)
