Metric,City,Estimate,Group,Estimate Margin of Error,Percent,Percent Margin of Error
"('Total housing units',)","Albuquerque city, New Mexico","247,716",housing_occupancy,"±2,717","247,716",(X)
"('Total housing units',)","Anaheim city, California","110,647",housing_occupancy,"±3,466","110,647",(X)
"('Total housing units',)","Anchorage municipality, Alaska","119,272",housing_occupancy,±490,"119,272",(X)
"('Total housing units',)","Arlington city, Texas","148,396",housing_occupancy,"±4,742","148,396",(X)
"('Total housing units',)","Atlanta city, Georgia","253,597",housing_occupancy,"±5,338","253,597",(X)
"('Total housing units',)","Aurora city, Colorado","141,909",housing_occupancy,"±3,185","141,909",(X)
"('Total housing units',)","Austin city, Texas","442,388",housing_occupancy,"±4,948","442,388",(X)
"('Total housing units',)","Bakersfield city, California","124,863",housing_occupancy,"±3,248","124,863",(X)
"('Total housing units',)","Baltimore city, Maryland","293,877",housing_occupancy,"±1,264","293,877",(X)
"('Total housing units',)","Boston city, Massachusetts","303,791",housing_occupancy,"±3,230","303,791",(X)
"('Total housing units',)","Charlotte city, North Carolina","375,538",housing_occupancy,"±3,740","375,538",(X)
"('Total housing units',)","Chicago city, Illinois","1,218,078",housing_occupancy,"±10,813","1,218,078",(X)
"('Total housing units',)","Cincinnati city, Ohio","158,394",housing_occupancy,"±3,662","158,394",(X)
"('Total housing units',)","Cleveland city, Ohio","207,813",housing_occupancy,"±4,533","207,813",(X)
"('Total housing units',)","Colorado Springs city, Colorado","199,168",housing_occupancy,"±2,237","199,168",(X)
"('Total housing units',)","Columbus city, Ohio","402,520",housing_occupancy,"±5,033","402,520",(X)
"('Total housing units',)","Corpus Christi city, Texas","134,604",housing_occupancy,"±1,869","134,604",(X)
"('Total housing units',)","Dallas city, Texas","589,260",housing_occupancy,"±6,711","589,260",(X)
"('Total housing units',)","Denver city, Colorado","338,346",housing_occupancy,±923,"338,346",(X)
"('Total housing units',)","Detroit city, Michigan","359,623",housing_occupancy,"±4,483","359,623",(X)
"('Total housing units',)","Durham city, North Carolina","124,001",housing_occupancy,"±1,983","124,001",(X)
"('Total housing units',)","El Paso city, Texas","250,077",housing_occupancy,"±2,758","250,077",(X)
"('Total housing units',)","Fort Worth city, Texas","346,502",housing_occupancy,"±6,146","346,502",(X)
"('Total housing units',)","Fresno city, California","180,639",housing_occupancy,"±3,010","180,639",(X)
"('Total housing units',)","Greensboro city, North Carolina","132,743",housing_occupancy,"±3,522","132,743",(X)
"('Total housing units',)","Henderson city, Nevada","132,861",housing_occupancy,"±4,042","132,861",(X)
"('Total housing units',)","Houston city, Texas","987,158",housing_occupancy,"±9,121","987,158",(X)
"('Total housing units',)","Indianapolis city (balance), Indiana","384,807",housing_occupancy,"±3,177","384,807",(X)
"('Total housing units',)","Irvine city, California","114,217",housing_occupancy,"±4,276","114,217",(X)
"('Total housing units',)","Jacksonville city, Florida","396,542",housing_occupancy,"±2,352","396,542",(X)
"('Total housing units',)","Jersey City city, New Jersey","116,602",housing_occupancy,"±2,590","116,602",(X)
"('Total housing units',)","Kansas City city, Missouri","238,547",housing_occupancy,"±3,712","238,547",(X)
"('Total housing units',)","Las Vegas city, Nevada","258,593",housing_occupancy,"±5,987","258,593",(X)
"('Total housing units',)","Lincoln city, Nebraska","124,244",housing_occupancy,"±1,141","124,244",(X)
"('Total housing units',)","Long Beach city, California","176,189",housing_occupancy,"±4,761","176,189",(X)
"('Total housing units',)","Los Angeles city, California","1,532,364",housing_occupancy,"±11,210","1,532,364",(X)
"('Total housing units',)","Memphis city, Tennessee","301,473",housing_occupancy,"±4,146","301,473",(X)
"('Total housing units',)","Mesa city, Arizona","215,150",housing_occupancy,"±5,036","215,150",(X)
"('Total housing units',)","Miami city, Florida","221,040",housing_occupancy,"±6,494","221,040",(X)
"('Total housing units',)","Milwaukee city, Wisconsin","260,024",housing_occupancy,"±4,009","260,024",(X)
