Metric,City,Estimate,Group,Estimate Margin of Error,Percent,Percent Margin of Error
"('Total housing units',)","Albuquerque city, New Mexico","244,656",housing_occupancy,"±2,270","244,656",(X)
"('Total housing units',)","Anaheim city, California","102,542",housing_occupancy,"±3,651","102,542",(X)
"('Total housing units',)","Anchorage municipality, Alaska","117,298",housing_occupancy,±446,"117,298",(X)
"('Total housing units',)","Arlington city, Texas","145,857",housing_occupancy,"±3,577","145,857",(X)
"('Total housing units',)","Atlanta city, Georgia","245,063",housing_occupancy,"±5,323","245,063",(X)
"('Total housing units',)","Aurora city, Colorado","134,175",housing_occupancy,"±3,060","134,175",(X)
"('Total housing units',)","Austin city, Texas","417,939",housing_occupancy,"±5,982","417,939",(X)
"('Total housing units',)","Bakersfield city, California","126,624",housing_occupancy,"±2,891","126,624",(X)
"('Total housing units',)","Baltimore city, Maryland","294,534",housing_occupancy,"±1,285","294,534",(X)
"('Total housing units',)","Boston city, Massachusetts","293,538",housing_occupancy,"±2,849","293,538",(X)
"('Total housing units',)","Charlotte city, North Carolina","359,326",housing_occupancy,"±2,909","359,326",(X)
"('Total housing units',)","Chicago city, Illinois","1,212,932",housing_occupancy,"±9,404","1,212,932",(X)
"('Total housing units',)","Cincinnati city, Ohio","164,944",housing_occupancy,"±3,063","164,944",(X)
"('Total housing units',)","Cleveland city, Ohio","212,726",housing_occupancy,"±3,703","212,726",(X)
"('Total housing units',)","Colorado Springs city, Colorado","190,025",housing_occupancy,"±2,382","190,025",(X)
"('Total housing units',)","Columbus city, Ohio","391,716",housing_occupancy,"±3,740","391,716",(X)
"('Total housing units',)","Corpus Christi city, Texas","131,980",housing_occupancy,"±1,405","131,980",(X)
"('Total housing units',)","Dallas city, Texas","573,667",housing_occupancy,"±7,118","573,667",(X)
"('Total housing units',)","Denver city, Colorado","320,551",housing_occupancy,"±1,100","320,551",(X)
"('Total housing units',)","Detroit city, Michigan","363,525",housing_occupancy,"±4,286","363,525",(X)
"('Total housing units',)","Durham city, North Carolina","118,995",housing_occupancy,"±1,711","118,995",(X)
"('Total housing units',)","El Paso city, Texas","252,969",housing_occupancy,"±2,308","252,969",(X)
"('Total housing units',)","Fort Worth city, Texas","329,779",housing_occupancy,"±5,005","329,779",(X)
"('Total housing units',)","Fresno city, California","180,495",housing_occupancy,"±3,094","180,495",(X)
"('Total housing units',)","Greensboro city, North Carolina","130,620",housing_occupancy,"±3,205","130,620",(X)
"('Total housing units',)","Henderson city, Nevada","132,788",housing_occupancy,"±3,695","132,788",(X)
"('Total housing units',)","Houston city, Texas","958,421",housing_occupancy,"±9,459","958,421",(X)
"('Total housing units',)","Indianapolis city (balance), Indiana","384,967",housing_occupancy,"±2,216","384,967",(X)
