Metric,City,Estimate,Group,Estimate Margin of Error,Percent,Percent Margin of Error
"('Total housing units',)","Albuquerque city, New Mexico","248,681",housing_occupancy,"±2,372","248,681",(X)
"('Total housing units',)","Anaheim city, California","108,802",housing_occupancy,"±3,202","108,802",(X)
"('Total housing units',)","Anchorage municipality, Alaska","118,233",housing_occupancy,±522,"118,233",(X)
"('Total housing units',)","Arlington city, Texas","145,021",housing_occupancy,"±4,183","145,021",(X)
"('Total housing units',)","Atlanta city, Georgia","255,433",housing_occupancy,"±4,761","255,433",(X)
"('Total housing units',)","Aurora city, Colorado","138,118",housing_occupancy,"±3,358","138,118",(X)
"('Total housing units',)","Austin city, Texas","425,076",housing_occupancy,"±4,606","425,076",(X)
"('Total housing units',)","Bakersfield city, California","130,103",housing_occupancy,"±3,369","130,103",(X)
"('Total housing units',)","Baltimore city, Maryland","293,633",housing_occupancy,"±1,076","293,633",(X)
"('Total housing units',)","Boston city, Massachusetts","299,472",housing_occupancy,"±2,988","299,472",(X)
"('Total housing units',)","Charlotte city, North Carolina","367,444",housing_occupancy,"±3,040","367,444",(X)
"('Total housing units',)","Chicago city, Illinois","1,227,166",housing_occupancy,"±8,813","1,227,166",(X)
"('Total housing units',)","Cincinnati city, Ohio","161,429",housing_occupancy,"±3,823","161,429",(X)
"('Total housing units',)","Cleveland city, Ohio","213,942",housing_occupancy,"±3,905","213,942",(X)
"('Total housing units',)","Colorado Springs city, Colorado","191,810",housing_occupancy,"±2,592","191,810",(X)
"('Total housing units',)","Columbus city, Ohio","397,308",housing_occupancy,"±3,461","397,308",(X)
"('Total housing units',)","Corpus Christi city, Texas","132,153",housing_occupancy,"±1,544","132,153",(X)
"('Total housing units',)","Dallas city, Texas","590,607",housing_occupancy,"±5,679","590,607",(X)
"('Total housing units',)","Denver city, Colorado","330,884",housing_occupancy,"±1,011","330,884",(X)
"('Total housing units',)","Detroit city, Michigan","362,863",housing_occupancy,"±4,259","362,863",(X)
"('Total housing units',)","Durham city, North Carolina","122,814",housing_occupancy,"±1,517","122,814",(X)
"('Total housing units',)","El Paso city, Texas","252,256",housing_occupancy,"±2,635","252,256",(X)
"('Total housing units',)","Fort Worth city, Texas","337,072",housing_occupancy,"±5,513","337,072",(X)
"('Total housing units',)","Fresno city, California","183,030",housing_occupancy,"±2,965","183,030",(X)
"('Total housing units',)","Greensboro city, North Carolina","132,721",housing_occupancy,"±2,934","132,721",(X)
"('Total housing units',)","Henderson city, Nevada","133,080",housing_occupancy,"±3,540","133,080",(X)
"('Total housing units',)","Houston city, Texas","976,745",housing_occupancy,"±8,825","976,745",(X)
"('Total housing units',)","Indianapolis city (balance), Indiana","387,102",housing_occupancy,"±2,725","387,102",(X)
"('Total housing units',)","Irvine city, California","108,463",housing_occupancy,"±4,035","108,463",(X)
"('Total housing units',)","Jacksonville city, Florida","388,788",housing_occupancy,"±1,945","388,788",(X)
"('Total housing units',)","Jersey City city, New Jersey","110,801",housing_occupancy,"±3,169","110,801",(X)
"('Total housing units',)","Kansas City city, Missouri","236,054",housing_occupancy,"±3,663","236,054",(X)
"('Total housing units',)","Las Vegas city, Nevada","258,568",housing_occupancy,"±4,814","258,568",(X)
"('Total housing units',)","Lincoln city, Nebraska","122,305",housing_occupancy,±914,"122,305",(X)
"('Total housing units',)","Long Beach city, California","183,570",housing_occupancy,"±4,897","183,570",(X)
"('Total housing units',)","Los Angeles city, California","1,502,686",housing_occupancy,"±10,740","1,502,686",(X)
"('Total housing units',)","Memphis city, Tennessee","300,305",housing_occupancy,"±3,664","300,305",(X)
"('Total housing units',)","Mesa city, Arizona","217,400",housing_occupancy,"±4,343","217,400",(X)
"('Total housing units',)","Miami city, Florida","211,030",housing_occupancy,"±5,331","211,030",(X)
