Metric,City,Estimate,Group,Estimate Margin of Error,Percent,Percent Margin of Error
"('Total housing units',)","Albuquerque city, New Mexico","247,926",housing_occupancy,±937,"247,926",(X)
"('Total housing units',)","Anaheim city, California","108,561",housing_occupancy,"±1,344","108,561",(X)
"('Total housing units',)","Anchorage municipality, Alaska","118,293",housing_occupancy,±212,"118,293",(X)
"('Total housing units',)","Arlington city, Texas","146,438",housing_occupancy,"±1,900","146,438",(X)
"('Total housing units',)","Atlanta city, Georgia","250,533",housing_occupancy,"±2,271","250,533",(X)
"('Total housing units',)","Aurora city, Colorado","139,091",housing_occupancy,"±1,157","139,091",(X)
"('Total housing units',)","Austin city, Texas","426,899",housing_occupancy,"±2,317","426,899",(X)
"('Total housing units',)","Bakersfield city, California","125,143",housing_occupancy,"±1,361","125,143",(X)
"('Total housing units',)","Baltimore city, Maryland","293,936",housing_occupancy,±383,"293,936",(X)
"('Total housing units',)","Boston city, Massachusetts","298,708",housing_occupancy,"±1,335","298,708",(X)
"('Total housing units',)","Charlotte city, North Carolina","367,252",housing_occupancy,"±1,226","367,252",(X)
"('Total housing units',)","Chicago city, Illinois","1,217,686",housing_occupancy,"±3,566","1,217,686",(X)
"('Total housing units',)","Cincinnati city, Ohio","161,166",housing_occupancy,"±1,481","161,166",(X)
"('Total housing units',)","Cleveland city, Ohio","211,212",housing_occupancy,"±1,600","211,212",(X)
"('Total housing units',)","Colorado Springs city, Colorado","194,008",housing_occupancy,"±1,110","194,008",(X)
"('Total housing units',)","Columbus city, Ohio","395,162",housing_occupancy,"±1,856","395,162",(X)
"('Total housing units',)","Corpus Christi city, Texas","132,965",housing_occupancy,±519,"132,965",(X)
"('Total housing units',)","Dallas city, Texas","581,987",housing_occupancy,"±2,897","581,987",(X)
"('Total housing units',)","Denver city, Colorado","306,269",housing_occupancy,±469,"306,269",(X)
"('Total housing units',)","Detroit city, Michigan","358,145",housing_occupancy,"±1,782","358,145",(X)
"('Total housing units',)","Durham city, North Carolina","122,422",housing_occupancy,±794,"122,422",(X)
"('Total housing units',)","El Paso city, Texas","252,526",housing_occupancy,"±1,028","252,526",(X)
"('Total housing units',)","Fort Worth city, Texas","336,468",housing_occupancy,"±2,289","336,468",(X)
"('Total housing units',)","Fresno city, California","180,020",housing_occupancy,"±1,178","180,020",(X)
"('Total housing units',)","Greensboro city, North Carolina","131,171",housing_occupancy,"±1,106","131,171",(X)
"('Total housing units',)","Henderson city, Nevada","131,804",housing_occupancy,"±1,691","131,804",(X)
"('Total housing units',)","Houston city, Texas","982,694",housing_occupancy,"±3,298","982,694",(X)
"('Total housing units',)","Indianapolis city (balance), Indiana","386,986",housing_occupancy,"±1,017","386,986",(X)
"('Total housing units',)","Irvine city, California","104,553",housing_occupancy,"±1,521","104,553",(X)
"('Total housing units',)","Jacksonville city, Florida","389,130",housing_occupancy,±833,"389,130",(X)
"('Total housing units',)","Jersey City city, New Jersey","113,854",housing_occupancy,"±1,298","113,854",(X)
"('Total housing units',)","Kansas City city, Missouri","233,432",housing_occupancy,"±1,439","233,432",(X)
"('Total housing units',)","Las Vegas city, Nevada","259,521",housing_occupancy,"±2,046","259,521",(X)
"('Total housing units',)","Lexington-Fayette urban county, Kentucky","142,813",housing_occupancy,±543,"142,813",(X)
"('Total housing units',)","Lincoln city, Nebraska","122,048",housing_occupancy,±408,"122,048",(X)
"('Total housing units',)","Long Beach city, California","175,725",housing_occupancy,"±1,686","175,725",(X)
"('Total housing units',)","Los Angeles city, California","1,513,791",housing_occupancy,"±4,248","1,513,791",(X)
"('Total housing units',)","Memphis city, Tennessee","299,599",housing_occupancy,"±1,427","299,599",(X)
"('Total housing units',)","Mesa city, Arizona","214,831",housing_occupancy,"±1,768","214,831",(X)
"('Total housing units',)","Miami city, Florida","209,161",housing_occupancy,"±1,857","209,161",(X)
"('Total housing units',)","Milwaukee city, Wisconsin","256,856",housing_occupancy,"±1,389","256,856",(X)
"('Total housing units',)","Minneapolis city, Minnesota","190,105",housing_occupancy,"±1,493","190,105",(X)
"('Total housing units',)","Nashville-Davidson metropolitan government (balance), Tennessee","309,067",housing_occupancy,±661,"309,067",(X)
"('Total housing units',)","New Orleans city, Louisiana","192,012",housing_occupancy,±339,"192,012",(X)
"('Total housing units',)","New York city, New York","3,519,595",housing_occupancy,"±1,320","3,519,595",(X)
"('Total housing units',)","Newark city, New Jersey","114,410",housing_occupancy,"±1,190","114,410",(X)
"('Total housing units',)","Oakland city, California","171,749",housing_occupancy,"±1,603","171,749",(X)
"('Total housing units',)","Oklahoma City city, Oklahoma","276,084",housing_occupancy,"±1,900","276,084",(X)
"('Total housing units',)","Omaha city, Nebraska","203,215",housing_occupancy,±742,"203,215",(X)
"('Total housing units',)","Orlando city, Florida","136,180",housing_occupancy,"±1,984","136,180",(X)
"('Total housing units',)","Philadelphia city, Pennsylvania","689,121",housing_occupancy,±723,"689,121",(X)
"('Total housing units',)","Phoenix city, Arizona","626,977",housing_occupancy,"±2,992","626,977",(X)
"('Total housing units',)","Pittsburgh city, Pennsylvania","159,339",housing_occupancy,"±1,599","159,339",(X)
"('Total housing units',)","Plano city, Texas","113,254",housing_occupancy,"±1,165","113,254",(X)
"('Total housing units',)","Portland city, Oregon","293,208",housing_occupancy,"±1,288","293,208",(X)
"('Total housing units',)","Raleigh city, North Carolina","206,328",housing_occupancy,"±1,538","206,328",(X)
"('Total housing units',)","Riverside city, California","95,553",housing_occupancy,"±1,524","95,553",(X)
"('Total housing units',)","Sacramento city, California","197,948",housing_occupancy,"±1,486","197,948",(X)
"('Total housing units',)","San Antonio city, Texas","555,138",housing_occupancy,"±1,554","555,138",(X)
"('Total housing units',)","San Diego city, California","548,931",housing_occupancy,"±2,908","548,931",(X)
"('Total housing units',)","San Francisco city, California","398,613",housing_occupancy,±722,"398,613",(X)
"('Total housing units',)","San Jose city, California","338,109",housing_occupancy,"±1,751","338,109",(X)
"('Total housing units',)","Santa Ana city, California","81,362",housing_occupancy,"±1,055","81,362",(X)
