Metric,City,Estimate,Group,Estimate Margin of Error,Percent,Percent Margin of Error
"('Total housing units',)","Albuquerque city, New Mexico","240,450",housing_occupancy,"±2,150","240,450",(X)
"('Total housing units',)","Anaheim city, California","104,592",housing_occupancy,"±3,003","104,592",(X)
"('Total housing units',)","Anchorage municipality, Alaska","113,766",housing_occupancy,±630,"113,766",(X)
"('Total housing units',)","Arlington city, Texas","146,783",housing_occupancy,"±3,933","146,783",(X)
"('Total housing units',)","Atlanta city, Georgia","227,400",housing_occupancy,"±4,986","227,400",(X)
"('Total housing units',)","Aurora city, Colorado","129,520",housing_occupancy,"±2,942","129,520",(X)
"('Total housing units',)","Austin city, Texas","375,441",housing_occupancy,"±4,573","375,441",(X)
"('Total housing units',)","Bakersfield city, California","119,118",housing_occupancy,"±3,068","119,118",(X)
"('Total housing units',)","Baltimore city, Maryland","295,773",housing_occupancy,"±1,130","295,773",(X)
"('Total housing units',)","Boston city, Massachusetts","273,113",housing_occupancy,"±2,694","273,113",(X)
"('Total housing units',)","Charlotte city, North Carolina","328,220",housing_occupancy,"±2,471","328,220",(X)
"('Total housing units',)","Chicago city, Illinois","1,183,908",housing_occupancy,"±8,883","1,183,908",(X)
"('Total housing units',)","Cincinnati city, Ohio","158,066",housing_occupancy,"±3,283","158,066",(X)
"('Total housing units',)","Cleveland city, Ohio","206,803",housing_occupancy,"±3,835","206,803",(X)
"('Total housing units',)","Colorado Springs city, Colorado","182,212",housing_occupancy,"±2,187","182,212",(X)
"('Total housing units',)","Columbus city, Ohio","377,298",housing_occupancy,"±3,307","377,298",(X)
"('Total housing units',)","Corpus Christi city, Texas","127,153",housing_occupancy,"±1,271","127,153",(X)
"('Total housing units',)","Dallas city, Texas","530,492",housing_occupancy,"±6,687","530,492",(X)
"('Total housing units',)","Denver city, Colorado","293,222",housing_occupancy,±927,"293,222",(X)
"('Total housing units',)","Detroit city, Michigan","368,476",housing_occupancy,"±4,021","368,476",(X)
"('Total housing units',)","Durham city, North Carolina","108,250",housing_occupancy,"±1,782","108,250",(X)
"('Total housing units',)","El Paso city, Texas","239,557",housing_occupancy,"±2,010","239,557",(X)
"('Total housing units',)","Fort Worth city, Texas","295,503",housing_occupancy,"±5,596","295,503",(X)
"('Total housing units',)","Fresno city, California","174,645",housing_occupancy,"±3,098","174,645",(X)
"('Total housing units',)","Greensboro city, North Carolina","128,671",housing_occupancy,"±2,731","128,671",(X)
"('Total housing units',)","Henderson city, Nevada","119,859",housing_occupancy,"±3,029","119,859",(X)
"('Total housing units',)","Houston city, Texas","926,019",housing_occupancy,"±7,348","926,019",(X)
"('Total housing units',)","Indianapolis city (balance), Indiana","379,133",housing_occupancy,"±2,278","379,133",(X)
"('Total housing units',)","Irvine city, California","88,669",housing_occupancy,"±2,889","88,669",(X)
"('Total housing units',)","Jacksonville city, Florida","369,223",housing_occupancy,"±2,229","369,223",(X)
"('Total housing units',)","Jersey City city, New Jersey","110,111",housing_occupancy,"±2,911","110,111",(X)
"('Total housing units',)","Kansas City city, Missouri","225,620",housing_occupancy,"±3,963","225,620",(X)
"('Total housing units',)","Las Vegas city, Nevada","244,706",housing_occupancy,"±4,783","244,706",(X)
"('Total housing units',)","Lincoln city, Nebraska","112,643",housing_occupancy,±942,"112,643",(X)
"('Total housing units',)","Long Beach city, California","175,205",housing_occupancy,"±4,769","175,205",(X)
"('Total housing units',)","Los Angeles city, California","1,406,849",housing_occupancy,"±10,218","1,406,849",(X)
"('Total housing units',)","Memphis city, Tennessee","297,610",housing_occupancy,"±2,917","297,610",(X)
"('Total housing units',)","Mesa city, Arizona","199,768",housing_occupancy,"±5,138","199,768",(X)
"('Total housing units',)","Miami city, Florida","187,040",housing_occupancy,"±4,473","187,040",(X)
"('Total housing units',)","Milwaukee city, Wisconsin","258,961",housing_occupancy,"±3,043","258,961",(X)
"('Total housing units',)","Minneapolis city, Minnesota","179,687",housing_occupancy,"±3,957","179,687",(X)
"('Total housing units',)","New Orleans city, Louisiana","191,565",housing_occupancy,±766,"191,565",(X)
"('Total housing units',)","New York city, New York","3,394,486",housing_occupancy,"±2,495","3,394,486",(X)
"('Total housing units',)","Newark city, New Jersey","109,691",housing_occupancy,"±3,154","109,691",(X)
"('Total housing units',)","Oakland city, California","165,962",housing_occupancy,"±3,693","165,962",(X)
"('Total housing units',)","Oklahoma City city, Oklahoma","261,078",housing_occupancy,"±3,332","261,078",(X)
"('Total housing units',)","Omaha city, Nebraska","185,184",housing_occupancy,"±1,551","185,184",(X)
"('Total housing units',)","Orlando city, Florida","124,890",housing_occupancy,"±3,379","124,890",(X)
"('Total housing units',)","Philadelphia city, Pennsylvania","667,625",housing_occupancy,"±1,712","667,625",(X)
"('Total housing units',)","Phoenix city, Arizona","594,695",housing_occupancy,"±7,668","594,695",(X)
"('Total housing units',)","Pittsburgh city, Pennsylvania","152,163",housing_occupancy,"±3,371","152,163",(X)
"('Total housing units',)","Plano city, Texas","110,660",housing_occupancy,"±2,560","110,660",(X)
"('Total housing units',)","Portland city, Oregon","268,056",housing_occupancy,"±2,647","268,056",(X)
"('Total housing units',)","Raleigh city, North Carolina","185,317",housing_occupancy,"±3,729","185,317",(X)
"('Total housing units',)","Riverside city, California","95,994",housing_occupancy,"±3,462","95,994",(X)
"('Total housing units',)","Sacramento city, California","191,138",housing_occupancy,"±4,545","191,138",(X)
"('Total housing units',)","San Antonio city, Texas","538,533",housing_occupancy,"±3,960","538,533",(X)
"('Total housing units',)","San Diego city, California","518,353",housing_occupancy,"±6,276","518,353",(X)
"('Total housing units',)","San Francisco city, California","381,001",housing_occupancy,"±1,184","381,001",(X)
"('Total housing units',)","San Jose city, California","324,648",housing_occupancy,"±3,381","324,648",(X)
"('Total housing units',)","Santa Ana city, California","78,000",housing_occupancy,"±2,762","78,000",(X)
"('Total housing units',)","Seattle city, Washington","314,880",housing_occupancy,"±5,091","314,880",(X)
"('Total housing units',)","St. Louis city, Missouri","175,129",housing_occupancy,±972,"175,129",(X)
"('Total housing units',)","St. Paul city, Minnesota","118,298",housing_occupancy,"±2,428","118,298",(X)
"('Total housing units',)","Stockton city, California","100,577",housing_occupancy,"±2,511","100,577",(X)
"('Total housing units',)","Tampa city, Florida","162,937",housing_occupancy,"±3,733","162,937",(X)
"('Total housing units',)","Tucson city, Arizona","233,941",housing_occupancy,"±3,856","233,941",(X)
"('Total housing units',)","Tulsa city, Oklahoma","186,628",housing_occupancy,"±1,927","186,628",(X)
"('Total housing units',)","Virginia Beach city, Virginia","180,458",housing_occupancy,±845,"180,458",(X)
"('Total housing units',)","Washington city, District of Columbia","302,975",housing_occupancy,±82,"302,975",(X)
"('Total housing units',)","Wichita city, Kansas","167,885",housing_occupancy,"±2,032","167,885",(X)
"('Occupied housing units',)","Albuquerque city, New Mexico","217,856",housing_occupancy,"±3,021",90.60%,±1.1
"('Occupied housing units',)","Anaheim city, California","99,302",housing_occupancy,"±2,804",94.90%,±1.2
"('Occupied housing units',)","Anchorage municipality, Alaska","103,445",housing_occupancy,"±2,136",90.90%,±1.8
"('Occupied housing units',)","Arlington city, Texas","135,015",housing_occupancy,"±3,825",92.00%,±1.3
"('Occupied housing units',)","Atlanta city, Georgia","185,160",housing_occupancy,"±4,633",81.40%,±1.4
"('Occupied housing units',)","Aurora city, Colorado","124,381",housing_occupancy,"±2,843",96.00%,±1.0
"('Occupied housing units',)","Austin city, Texas","349,200",housing_occupancy,"±5,054",93.00%,±0.8
"('Occupied housing units',)","Bakersfield city, California","111,136",housing_occupancy,"±2,975",93.30%,±1.6
"('Occupied housing units',)","Baltimore city, Maryland","244,114",housing_occupancy,"±3,964",82.50%,±1.2
"('Occupied housing units',)","Boston city, Massachusetts","251,757",housing_occupancy,"±3,144",92.20%,±0.8
"('Occupied housing units',)","Charlotte city, North Carolina","299,823",housing_occupancy,"±3,587",91.30%,±0.9
"('Occupied housing units',)","Chicago city, Illinois","1,030,136",housing_occupancy,"±10,542",87.00%,±0.5
"('Occupied housing units',)","Cincinnati city, Ohio","133,301",housing_occupancy,"±3,442",84.30%,±1.3
"('Occupied housing units',)","Cleveland city, Ohio","164,400",housing_occupancy,"±3,806",79.50%,±1.2
"('Occupied housing units',)","Colorado Springs city, Colorado","169,761",housing_occupancy,"±2,607",93.20%,±1.3
"('Occupied housing units',)","Columbus city, Ohio","329,894",housing_occupancy,"±4,236",87.40%,±1.0
"('Occupied housing units',)","Corpus Christi city, Texas","115,854",housing_occupancy,"±2,158",91.10%,±1.6
"('Occupied housing units',)","Dallas city, Texas","476,733",housing_occupancy,"±6,946",89.90%,±0.8
"('Occupied housing units',)","Denver city, Colorado","273,050",housing_occupancy,"±3,115",93.10%,±1.0
"('Occupied housing units',)","Detroit city, Michigan","255,322",housing_occupancy,"±3,879",69.30%,±0.9
"('Occupied housing units',)","Durham city, North Carolina","99,643",housing_occupancy,"±2,144",92.00%,±1.5
"('Occupied housing units',)","El Paso city, Texas","219,332",housing_occupancy,"±2,888",91.60%,±1.1
"('Occupied housing units',)","Fort Worth city, Texas","269,433",housing_occupancy,"±5,649",91.20%,±1.0
"('Occupied housing units',)","Fresno city, California","161,474",housing_occupancy,"±3,304",92.50%,±1.4
"('Occupied housing units',)","Greensboro city, North Carolina","115,731",housing_occupancy,"±2,981",89.90%,±1.6
"('Occupied housing units',)","Henderson city, Nevada","105,373",housing_occupancy,"±2,822",87.90%,±1.7
"('Occupied housing units',)","Houston city, Texas","815,266",housing_occupancy,"±7,582",88.00%,±0.6
"('Occupied housing units',)","Indianapolis city (balance), Indiana","326,395",housing_occupancy,"±4,371",86.10%,±1.1
"('Occupied housing units',)","Irvine city, California","84,808",housing_occupancy,"±2,619",95.60%,±1.7
"('Occupied housing units',)","Jacksonville city, Florida","314,537",housing_occupancy,"±4,279",85.20%,±1.1
"('Occupied housing units',)","Jersey City city, New Jersey","97,530",housing_occupancy,"±2,501",88.60%,±1.6
"('Occupied housing units',)","Kansas City city, Missouri","193,340",housing_occupancy,"±4,022",85.70%,±1.2
"('Occupied housing units',)","Las Vegas city, Nevada","209,439",housing_occupancy,"±5,034",85.60%,±1.3
"('Occupied housing units',)","Lincoln city, Nebraska","106,874",housing_occupancy,"±1,818",94.90%,±1.4
"('Occupied housing units',)","Long Beach city, California","165,125",housing_occupancy,"±4,560",94.20%,±1.0
"('Occupied housing units',)","Los Angeles city, California","1,320,167",housing_occupancy,"±9,304",93.80%,±0.3
"('Occupied housing units',)","Memphis city, Tennessee","250,302",housing_occupancy,"±4,332",84.10%,±1.1
"('Occupied housing units',)","Mesa city, Arizona","166,515",housing_occupancy,"±4,446",83.40%,±1.4
"('Occupied housing units',)","Miami city, Florida","154,556",housing_occupancy,"±4,265",82.60%,±1.7
"('Occupied housing units',)","Milwaukee city, Wisconsin","231,386",housing_occupancy,"±3,458",89.40%,±0.9
"('Occupied housing units',)","Minneapolis city, Minnesota","168,011",housing_occupancy,"±3,768",93.50%,±1.0
"('Occupied housing units',)","New Orleans city, Louisiana","158,354",housing_occupancy,"±2,391",82.70%,±1.2
"('Occupied housing units',)","New York city, New York","3,084,861",housing_occupancy,"±9,520",90.90%,±0.3
"('Occupied housing units',)","Newark city, New Jersey","93,022",housing_occupancy,"±3,012",84.80%,±1.4
"('Occupied housing units',)","Oakland city, California","154,214",housing_occupancy,"±3,611",92.90%,±1.0
"('Occupied housing units',)","Oklahoma City city, Oklahoma","232,102",housing_occupancy,"±3,631",88.90%,±1.0
"('Occupied housing units',)","Omaha city, Nebraska","171,549",housing_occupancy,"±2,617",92.60%,±1.2
"('Occupied housing units',)","Orlando city, Florida","103,466",housing_occupancy,"±3,494",82.80%,±2.2
"('Occupied housing units',)","Philadelphia city, Pennsylvania","582,528",housing_occupancy,"±4,670",87.30%,±0.7
"('Occupied housing units',)","Phoenix city, Arizona","517,276",housing_occupancy,"±6,964",87.00%,±0.8
"('Occupied housing units',)","Pittsburgh city, Pennsylvania","130,418",housing_occupancy,"±3,608",85.70%,±1.9
"('Occupied housing units',)","Plano city, Texas","105,977",housing_occupancy,"±2,275",95.80%,±1.3
"('Occupied housing units',)","Portland city, Oregon","253,021",housing_occupancy,"±3,082",94.40%,±0.9
"('Occupied housing units',)","Raleigh city, North Carolina","170,554",housing_occupancy,"±4,016",92.00%,±1.5
"('Occupied housing units',)","Riverside city, California","89,596",housing_occupancy,"±3,089",93.30%,±1.5
"('Occupied housing units',)","Sacramento city, California","175,350",housing_occupancy,"±3,857",91.70%,±1.4
"('Occupied housing units',)","San Antonio city, Texas","493,102",housing_occupancy,"±5,088",91.60%,±0.7
"('Occupied housing units',)","San Diego city, California","480,730",housing_occupancy,"±6,318",92.70%,±0.7
"('Occupied housing units',)","San Francisco city, California","354,651",housing_occupancy,"±3,606",93.10%,±0.9
"('Occupied housing units',)","San Jose city, California","314,210",housing_occupancy,"±3,502",96.80%,±0.6
"('Occupied housing units',)","Santa Ana city, California","76,284",housing_occupancy,"±2,617",97.80%,±0.9
"('Occupied housing units',)","Seattle city, Washington","297,920",housing_occupancy,"±5,253",94.60%,±1.0
"('Occupied housing units',)","St. Louis city, Missouri","140,536",housing_occupancy,"±3,412",80.20%,±1.8
"('Occupied housing units',)","St. Paul city, Minnesota","110,770",housing_occupancy,"±2,632",93.60%,±1.1
"('Occupied housing units',)","Stockton city, California","90,883",housing_occupancy,"±2,333",90.40%,±1.6
"('Occupied housing units',)","Tampa city, Florida","146,193",housing_occupancy,"±3,743",89.70%,±1.3
"('Occupied housing units',)","Tucson city, Arizona","207,615",housing_occupancy,"±3,745",88.70%,±1.1
"('Occupied housing units',)","Tulsa city, Oklahoma","162,992",housing_occupancy,"±2,104",87.30%,±0.8
"('Occupied housing units',)","Virginia Beach city, Virginia","165,428",housing_occupancy,"±2,329",91.70%,±1.2
"('Occupied housing units',)","Washington city, District of Columbia","271,651",housing_occupancy,"±3,228",89.70%,±1.1
"('Occupied housing units',)","Wichita city, Kansas","151,213",housing_occupancy,"±2,724",90.10%,±1.5
"('Vacant housing units',)","Albuquerque city, New Mexico","22,594",housing_occupancy,"±2,750",9.40%,±1.1
"('Vacant housing units',)","Anaheim city, California","5,290",housing_occupancy,"±1,251",5.10%,±1.2
"('Vacant housing units',)","Anchorage municipality, Alaska","10,321",housing_occupancy,"±2,006",9.10%,±1.8
"('Vacant housing units',)","Arlington city, Texas","11,768",housing_occupancy,"±1,974",8.00%,±1.3
"('Vacant housing units',)","Atlanta city, Georgia","42,240",housing_occupancy,"±3,581",18.60%,±1.4
"('Vacant housing units',)","Aurora city, Colorado","5,139",housing_occupancy,"±1,316",4.00%,±1.0
"('Vacant housing units',)","Austin city, Texas","26,241",housing_occupancy,"±3,213",7.00%,±0.8
"('Vacant housing units',)","Bakersfield city, California","7,982",housing_occupancy,"±1,954",6.70%,±1.6
"('Vacant housing units',)","Baltimore city, Maryland","51,659",housing_occupancy,"±3,567",17.50%,±1.2
"('Vacant housing units',)","Boston city, Massachusetts","21,356",housing_occupancy,"±2,207",7.80%,±0.8
"('Vacant housing units',)","Charlotte city, North Carolina","28,397",housing_occupancy,"±2,926",8.70%,±0.9
"('Vacant housing units',)","Chicago city, Illinois","153,772",housing_occupancy,"±6,264",13.00%,±0.5
