Metric,City,Estimate,Group,Estimate Margin of Error
"('Total population',)","Albuquerque city, New Mexico","558,558",total_number_of_races_reported,±60
"('Total population',)","Austin city, Texas","950,714",total_number_of_races_reported,±58
"('Total population',)","Baltimore city, Maryland","611,648",total_number_of_races_reported,*****
"('Total population',)","Boston city, Massachusetts","683,015",total_number_of_races_reported,"±2,627"
"('Total population',)","Charlotte city, North Carolina","859,052",total_number_of_races_reported,±70
"('Total population',)","Chicago city, Illinois","2,716,462",total_number_of_races_reported,±62
"('Total population',)","Columbus city, Ohio","881,901",total_number_of_races_reported,"±2,861"
"('Total population',)","Dallas city, Texas","1,341,103",total_number_of_races_reported,±156
"('Total population',)","Denver city, Colorado","704,621",total_number_of_races_reported,*****
"('Total population',)","Detroit city, Michigan","673,103",total_number_of_races_reported,±39
"('Total population',)","El Paso city, Texas","683,583",total_number_of_races_reported,±40
"('Total population',)","Fort Worth city, Texas","876,060",total_number_of_races_reported,"±3,155"
"('Total population',)","Fresno city, California","527,422",total_number_of_races_reported,±75
"('Total population',)","Houston city, Texas","2,313,230",total_number_of_races_reported,"±3,285"
"('Total population',)","Indianapolis city (balance), Indiana","857,386",total_number_of_races_reported,"±4,890"
"('Total population',)","Jacksonville city, Florida","892,064",total_number_of_races_reported,±22
"('Total population',)","Las Vegas city, Nevada","641,708",total_number_of_races_reported,±135
"('Total population',)","Los Angeles city, California","3,999,742",total_number_of_races_reported,±78
"('Total population',)","Memphis city, Tennessee","652,231",total_number_of_races_reported,±47
"('Total population',)","Milwaukee city, Wisconsin","595,365",total_number_of_races_reported,±60
"('Total population',)","New York city, New York","8,622,698",total_number_of_races_reported,*****
"('Total population',)","Oklahoma City city, Oklahoma","643,574",total_number_of_races_reported,±70
"('Total population',)","Philadelphia city, Pennsylvania","1,580,863",total_number_of_races_reported,*****
"('Total population',)","Phoenix city, Arizona","1,626,085",total_number_of_races_reported,±78
"('Total population',)","Portland city, Oregon","648,121",total_number_of_races_reported,"±1,583"
"('Total population',)","Sacramento city, California","501,890",total_number_of_races_reported,±66
"('Total population',)","San Antonio city, Texas","1,511,913",total_number_of_races_reported,±67
"('Total population',)","San Diego city, California","1,419,488",total_number_of_races_reported,±92
"('Total population',)","San Francisco city, California","884,363",total_number_of_races_reported,*****
"('Total population',)","San Jose city, California","1,035,353",total_number_of_races_reported,±114
"('Total population',)","Seattle city, Washington","724,764",total_number_of_races_reported,±86
"('Total population',)","Tucson city, Arizona","535,676",total_number_of_races_reported,±56
"('Total population',)","Washington city, District of Columbia","693,972",total_number_of_races_reported,*****
"('One race',)","Albuquerque city, New Mexico",96.00%,total_number_of_races_reported,±0.6
"('One race',)","Austin city, Texas",96.20%,total_number_of_races_reported,±0.5
"('One race',)","Baltimore city, Maryland",97.60%,total_number_of_races_reported,±0.5
"('One race',)","Boston city, Massachusetts",95.90%,total_number_of_races_reported,±0.6
"('One race',)","Charlotte city, North Carolina",96.90%,total_number_of_races_reported,±0.5
"('One race',)","Chicago city, Illinois",97.20%,total_number_of_races_reported,±0.2
"('One race',)","Columbus city, Ohio",96.20%,total_number_of_races_reported,±0.6
"('One race',)","Dallas city, Texas",97.60%,total_number_of_races_reported,±0.3
"('One race',)","Denver city, Colorado",96.60%,total_number_of_races_reported,±0.5
"('One race',)","Detroit city, Michigan",98.30%,total_number_of_races_reported,±0.4
"('One race',)","El Paso city, Texas",97.40%,total_number_of_races_reported,±0.5
"('One race',)","Fort Worth city, Texas",97.10%,total_number_of_races_reported,±0.5
"('One race',)","Fresno city, California",95.40%,total_number_of_races_reported,±0.7
"('One race',)","Houston city, Texas",97.90%,total_number_of_races_reported,±0.3
"('One race',)","Indianapolis city (balance), Indiana",96.20%,total_number_of_races_reported,±0.6
"('One race',)","Jacksonville city, Florida",97.00%,total_number_of_races_reported,±0.4
"('One race',)","Las Vegas city, Nevada",95.30%,total_number_of_races_reported,±0.7
