Metric,City,Estimate,Group,Estimate Margin of Error
"('Total population',)","Albuquerque city, New Mexico","552,801",total_number_of_races_reported,±42
"('Total population',)","Austin city, Texas","820,601",total_number_of_races_reported,±60
"('Total population',)","Baltimore city, Maryland","619,493",total_number_of_races_reported,*****
"('Total population',)","Boston city, Massachusetts","624,969",total_number_of_races_reported,"±2,515"
"('Total population',)","Charlotte city, North Carolina","751,074",total_number_of_races_reported,±57
"('Total population',)","Chicago city, Illinois","2,707,123",total_number_of_races_reported,±43
"('Total population',)","Columbus city, Ohio","796,014",total_number_of_races_reported,"±3,069"
"('Total population',)","Dallas city, Texas","1,223,378",total_number_of_races_reported,±320
"('Total population',)","Denver city, Colorado","619,968",total_number_of_races_reported,*****
"('Total population',)","Detroit city, Michigan","706,640",total_number_of_races_reported,±49
"('Total population',)","El Paso city, Texas","665,577",total_number_of_races_reported,±45
"('Total population',)","Fort Worth city, Texas","760,758",total_number_of_races_reported,"±4,023"
"('Total population',)","Fresno city, California","501,365",total_number_of_races_reported,±54
"('Total population',)","Houston city, Texas","2,145,933",total_number_of_races_reported,"±2,238"
"('Total population',)","Indianapolis city (balance), Indiana","824,232",total_number_of_races_reported,"±4,864"
"('Total population',)","Jacksonville city, Florida","827,909",total_number_of_races_reported,±24
"('Total population',)","Las Vegas city, Nevada","589,340",total_number_of_races_reported,±94
"('Total population',)","Los Angeles city, California","3,819,708",total_number_of_races_reported,±76
"('Total population',)","Memphis city, Tennessee","652,078",total_number_of_races_reported,±97
"('Total population',)","Milwaukee city, Wisconsin","597,884",total_number_of_races_reported,±62
"('Total population',)","New York city, New York","8,244,910",total_number_of_races_reported,*****
"('Total population',)","Oklahoma City city, Oklahoma","591,912",total_number_of_races_reported,±70
"('Total population',)","Philadelphia city, Pennsylvania","1,536,471",total_number_of_races_reported,*****
"('Total population',)","Phoenix city, Arizona","1,469,484",total_number_of_races_reported,±75
"('Total population',)","Portland city, Oregon","595,325",total_number_of_races_reported,"±1,605"
"('Total population',)","San Antonio city, Texas","1,359,730",total_number_of_races_reported,±63
"('Total population',)","San Diego city, California","1,326,183",total_number_of_races_reported,±63
"('Total population',)","San Francisco city, California","812,826",total_number_of_races_reported,*****
"('Total population',)","San Jose city, California","967,478",total_number_of_races_reported,±82
"('Total population',)","Seattle city, Washington","620,778",total_number_of_races_reported,±43
"('Total population',)","Tucson city, Arizona","525,798",total_number_of_races_reported,±53
"('Total population',)","Washington city, District of Columbia","617,996",total_number_of_races_reported,*****
"('One race',)","Albuquerque city, New Mexico",96.00%,total_number_of_races_reported,±0.7
"('One race',)","Austin city, Texas",97.20%,total_number_of_races_reported,±0.4
"('One race',)","Baltimore city, Maryland",97.60%,total_number_of_races_reported,±0.5
"('One race',)","Boston city, Massachusetts",95.90%,total_number_of_races_reported,±0.7
"('One race',)","Charlotte city, North Carolina",97.30%,total_number_of_races_reported,±0.7
"('One race',)","Chicago city, Illinois",97.80%,total_number_of_races_reported,±0.2
"('One race',)","Columbus city, Ohio",96.50%,total_number_of_races_reported,±0.6
"('One race',)","Dallas city, Texas",98.10%,total_number_of_races_reported,±0.3
"('One race',)","Denver city, Colorado",96.50%,total_number_of_races_reported,±0.7
"('One race',)","Detroit city, Michigan",97.90%,total_number_of_races_reported,±0.5
"('One race',)","El Paso city, Texas",97.70%,total_number_of_races_reported,±0.6
"('One race',)","Fort Worth city, Texas",97.20%,total_number_of_races_reported,±0.7
"('One race',)","Fresno city, California",95.10%,total_number_of_races_reported,±1.0
"('One race',)","Houston city, Texas",98.20%,total_number_of_races_reported,±0.3
"('One race',)","Indianapolis city (balance), Indiana",97.10%,total_number_of_races_reported,±0.4
"('One race',)","Jacksonville city, Florida",96.90%,total_number_of_races_reported,±0.7
"('One race',)","Las Vegas city, Nevada",95.20%,total_number_of_races_reported,±0.9
"('One race',)","Los Angeles city, California",96.70%,total_number_of_races_reported,±0.2
"('One race',)","Memphis city, Tennessee",98.20%,total_number_of_races_reported,±0.5
"('One race',)","Milwaukee city, Wisconsin",96.10%,total_number_of_races_reported,±0.6
"('One race',)","New York city, New York",96.90%,total_number_of_races_reported,±0.1
"('One race',)","Oklahoma City city, Oklahoma",93.70%,total_number_of_races_reported,±0.8
"('One race',)","Philadelphia city, Pennsylvania",97.50%,total_number_of_races_reported,±0.3
"('One race',)","Phoenix city, Arizona",97.70%,total_number_of_races_reported,±0.3
"('One race',)","Portland city, Oregon",96.10%,total_number_of_races_reported,±0.5
"('One race',)","San Antonio city, Texas",97.00%,total_number_of_races_reported,±0.4
"('One race',)","San Diego city, California",95.00%,total_number_of_races_reported,±0.5
"('One race',)","San Francisco city, California",96.00%,total_number_of_races_reported,±0.5
"('One race',)","San Jose city, California",95.30%,total_number_of_races_reported,±0.5
"('One race',)","Seattle city, Washington",95.00%,total_number_of_races_reported,±0.7
"('One race',)","Tucson city, Arizona",96.80%,total_number_of_races_reported,±0.6
"('One race',)","Washington city, District of Columbia",97.90%,total_number_of_races_reported,±0.3
"('Two races',)","Albuquerque city, New Mexico",3.60%,total_number_of_races_reported,±0.7
"('Two races',)","Austin city, Texas",2.70%,total_number_of_races_reported,±0.4
"('Two races',)","Baltimore city, Maryland",2.30%,total_number_of_races_reported,±0.4
"('Two races',)","Boston city, Massachusetts",3.80%,total_number_of_races_reported,±0.7
"('Two races',)","Charlotte city, North Carolina",2.10%,total_number_of_races_reported,±0.5
"('Two races',)","Chicago city, Illinois",2.10%,total_number_of_races_reported,±0.2
"('Two races',)","Columbus city, Ohio",2.80%,total_number_of_races_reported,±0.4
"('Two races',)","Dallas city, Texas",1.80%,total_number_of_races_reported,±0.3
"('Two races',)","Denver city, Colorado",3.10%,total_number_of_races_reported,±0.7
"('Two races',)","Detroit city, Michigan",1.90%,total_number_of_races_reported,±0.5
"('Two races',)","El Paso city, Texas",2.20%,total_number_of_races_reported,±0.5
"('Two races',)","Fort Worth city, Texas",2.50%,total_number_of_races_reported,±0.6
"('Two races',)","Fresno city, California",4.60%,total_number_of_races_reported,±0.9
"('Two races',)","Houston city, Texas",1.70%,total_number_of_races_reported,±0.3
"('Two races',)","Indianapolis city (balance), Indiana",2.70%,total_number_of_races_reported,±0.4
"('Two races',)","Jacksonville city, Florida",3.10%,total_number_of_races_reported,±0.7
"('Two races',)","Las Vegas city, Nevada",4.50%,total_number_of_races_reported,±0.8
"('Two races',)","Los Angeles city, California",3.00%,total_number_of_races_reported,±0.2
"('Two races',)","Memphis city, Tennessee",1.60%,total_number_of_races_reported,±0.4
"('Two races',)","Milwaukee city, Wisconsin",3.20%,total_number_of_races_reported,±0.5
"('Two races',)","New York city, New York",2.90%,total_number_of_races_reported,±0.1
"('Two races',)","Oklahoma City city, Oklahoma",5.80%,total_number_of_races_reported,±0.8
"('Two races',)","Philadelphia city, Pennsylvania",2.20%,total_number_of_races_reported,±0.3
"('Two races',)","Phoenix city, Arizona",2.20%,total_number_of_races_reported,±0.3
"('Two races',)","Portland city, Oregon",3.50%,total_number_of_races_reported,±0.5
"('Two races',)","San Antonio city, Texas",2.80%,total_number_of_races_reported,±0.4
"('Two races',)","San Diego city, California",4.60%,total_number_of_races_reported,±0.5
"('Two races',)","San Francisco city, California",3.60%,total_number_of_races_reported,±0.5
"('Two races',)","San Jose city, California",4.20%,total_number_of_races_reported,±0.5
"('Two races',)","Seattle city, Washington",4.40%,total_number_of_races_reported,±0.6
"('Two races',)","Tucson city, Arizona",3.10%,total_number_of_races_reported,±0.6
"('Two races',)","Washington city, District of Columbia",1.70%,total_number_of_races_reported,±0.3
"('Three races',)","Albuquerque city, New Mexico",0.30%,total_number_of_races_reported,±0.2
"('Three races',)","Austin city, Texas",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","Baltimore city, Maryland",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Boston city, Massachusetts",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Charlotte city, North Carolina",0.60%,total_number_of_races_reported,±0.5
"('Three races',)","Chicago city, Illinois",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","Columbus city, Ohio",0.70%,total_number_of_races_reported,±0.5
"('Three races',)","Dallas city, Texas",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","Denver city, Colorado",0.40%,total_number_of_races_reported,±0.2
"('Three races',)","Detroit city, Michigan",0.20%,total_number_of_races_reported,±0.2
"('Three races',)","El Paso city, Texas",0.00%,total_number_of_races_reported,±0.1
"('Three races',)","Fort Worth city, Texas",0.30%,total_number_of_races_reported,±0.3
"('Three races',)","Fresno city, California",0.30%,total_number_of_races_reported,±0.2
"('Three races',)","Houston city, Texas",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","Indianapolis city (balance), Indiana",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","Jacksonville city, Florida",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","Las Vegas city, Nevada",0.30%,total_number_of_races_reported,±0.1
"('Three races',)","Los Angeles city, California",0.30%,total_number_of_races_reported,±0.1
"('Three races',)","Memphis city, Tennessee",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Milwaukee city, Wisconsin",0.70%,total_number_of_races_reported,±0.3
"('Three races',)","New York city, New York",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Oklahoma City city, Oklahoma",0.40%,total_number_of_races_reported,±0.2
"('Three races',)","Philadelphia city, Pennsylvania",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Phoenix city, Arizona",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","Portland city, Oregon",0.30%,total_number_of_races_reported,±0.1
"('Three races',)","San Antonio city, Texas",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","San Diego city, California",0.40%,total_number_of_races_reported,±0.1
"('Three races',)","San Francisco city, California",0.40%,total_number_of_races_reported,±0.1
"('Three races',)","San Jose city, California",0.50%,total_number_of_races_reported,±0.2
"('Three races',)","Seattle city, Washington",0.60%,total_number_of_races_reported,±0.3
"('Three races',)","Tucson city, Arizona",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","Washington city, District of Columbia",0.30%,total_number_of_races_reported,±0.1
"('Four or more races',)","Albuquerque city, New Mexico",0.10%,total_number_of_races_reported,±0.1
"('Four or more races',)","Austin city, Texas",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Baltimore city, Maryland",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Boston city, Massachusetts",0.10%,total_number_of_races_reported,±0.1
"('Four or more races',)","Charlotte city, North Carolina",0.00%,total_number_of_races_reported,±0.1
