Metric,City,Estimate,Group,Estimate Margin of Error
"('Total population',)","Albuquerque city, New Mexico","559,131",total_number_of_races_reported,±54
"('Total population',)","Austin city, Texas","931,840",total_number_of_races_reported,±74
"('Total population',)","Baltimore city, Maryland","621,849",total_number_of_races_reported,*****
"('Total population',)","Boston city, Massachusetts","669,469",total_number_of_races_reported,"±2,608"
"('Total population',)","Charlotte city, North Carolina","827,121",total_number_of_races_reported,±90
"('Total population',)","Chicago city, Illinois","2,720,556",total_number_of_races_reported,±67
"('Total population',)","Columbus city, Ohio","849,067",total_number_of_races_reported,"±2,488"
"('Total population',)","Dallas city, Texas","1,300,082",total_number_of_races_reported,±68
"('Total population',)","Denver city, Colorado","682,545",total_number_of_races_reported,*****
"('Total population',)","Detroit city, Michigan","677,124",total_number_of_races_reported,±51
"('Total population',)","El Paso city, Texas","681,136",total_number_of_races_reported,±50
"('Total population',)","Fort Worth city, Texas","836,969",total_number_of_races_reported,"±2,530"
"('Total population',)","Fresno city, California","520,072",total_number_of_races_reported,±85
"('Total population',)","Houston city, Texas","2,298,628",total_number_of_races_reported,"±3,600"
"('Total population',)","Indianapolis city (balance), Indiana","848,423",total_number_of_races_reported,"±4,348"
"('Total population',)","Jacksonville city, Florida","868,031",total_number_of_races_reported,±24
"('Total population',)","Las Vegas city, Nevada","623,769",total_number_of_races_reported,±100
"('Total population',)","Los Angeles city, California","3,971,896",total_number_of_races_reported,±92
"('Total population',)","Memphis city, Tennessee","655,760",total_number_of_races_reported,±59
"('Total population',)","Milwaukee city, Wisconsin","600,154",total_number_of_races_reported,±36
"('Total population',)","New York city, New York","8,550,405",total_number_of_races_reported,*****
"('Total population',)","Oklahoma City city, Oklahoma","631,263",total_number_of_races_reported,±92
"('Total population',)","Philadelphia city, Pennsylvania","1,567,442",total_number_of_races_reported,*****
"('Total population',)","Phoenix city, Arizona","1,563,001",total_number_of_races_reported,±125
"('Total population',)","Portland city, Oregon","632,187",total_number_of_races_reported,"±1,698"
"('Total population',)","San Antonio city, Texas","1,469,824",total_number_of_races_reported,±69
"('Total population',)","San Diego city, California","1,394,907",total_number_of_races_reported,±83
"('Total population',)","San Francisco city, California","864,816",total_number_of_races_reported,*****
"('Total population',)","San Jose city, California","1,026,919",total_number_of_races_reported,±72
"('Total population',)","Seattle city, Washington","684,443",total_number_of_races_reported,±60
"('Total population',)","Tucson city, Arizona","531,674",total_number_of_races_reported,±124
"('Total population',)","Washington city, District of Columbia","672,228",total_number_of_races_reported,*****
"('One race',)","Albuquerque city, New Mexico",94.90%,total_number_of_races_reported,±0.8
"('One race',)","Austin city, Texas",97.10%,total_number_of_races_reported,±0.4
"('One race',)","Baltimore city, Maryland",97.10%,total_number_of_races_reported,±0.6
"('One race',)","Boston city, Massachusetts",95.50%,total_number_of_races_reported,±0.6
"('One race',)","Charlotte city, North Carolina",97.40%,total_number_of_races_reported,±0.4
"('One race',)","Chicago city, Illinois",97.40%,total_number_of_races_reported,±0.2
"('One race',)","Columbus city, Ohio",96.20%,total_number_of_races_reported,±0.5
"('One race',)","Dallas city, Texas",97.50%,total_number_of_races_reported,±0.4
"('One race',)","Denver city, Colorado",96.50%,total_number_of_races_reported,±0.5
"('One race',)","Detroit city, Michigan",98.20%,total_number_of_races_reported,±0.3
"('One race',)","El Paso city, Texas",98.00%,total_number_of_races_reported,±0.5
"('One race',)","Fort Worth city, Texas",97.20%,total_number_of_races_reported,±0.5
"('One race',)","Fresno city, California",96.80%,total_number_of_races_reported,±0.6
"('One race',)","Houston city, Texas",98.10%,total_number_of_races_reported,±0.2
"('One race',)","Indianapolis city (balance), Indiana",97.20%,total_number_of_races_reported,±0.5
"('One race',)","Jacksonville city, Florida",96.60%,total_number_of_races_reported,±0.5
"('One race',)","Las Vegas city, Nevada",94.60%,total_number_of_races_reported,±0.7
"('One race',)","Los Angeles city, California",96.60%,total_number_of_races_reported,±0.2
"('One race',)","Memphis city, Tennessee",98.30%,total_number_of_races_reported,±0.5
"('One race',)","Milwaukee city, Wisconsin",96.20%,total_number_of_races_reported,±0.7
"('One race',)","New York city, New York",96.70%,total_number_of_races_reported,±0.2
"('One race',)","Oklahoma City city, Oklahoma",93.30%,total_number_of_races_reported,±0.8
"('One race',)","Philadelphia city, Pennsylvania",97.30%,total_number_of_races_reported,±0.4
"('One race',)","Phoenix city, Arizona",96.70%,total_number_of_races_reported,±0.3
"('One race',)","Portland city, Oregon",94.50%,total_number_of_races_reported,±0.7
"('One race',)","San Antonio city, Texas",97.30%,total_number_of_races_reported,±0.4
"('One race',)","San Diego city, California",94.90%,total_number_of_races_reported,±0.4
"('One race',)","San Francisco city, California",95.60%,total_number_of_races_reported,±0.5
"('One race',)","San Jose city, California",95.10%,total_number_of_races_reported,±0.5
"('One race',)","Seattle city, Washington",93.80%,total_number_of_races_reported,±0.6
"('One race',)","Tucson city, Arizona",96.00%,total_number_of_races_reported,±0.5
"('One race',)","Washington city, District of Columbia",96.80%,total_number_of_races_reported,±0.4
"('Two races',)","Albuquerque city, New Mexico",4.90%,total_number_of_races_reported,±0.8
"('Two races',)","Austin city, Texas",2.60%,total_number_of_races_reported,±0.4
"('Two races',)","Baltimore city, Maryland",2.30%,total_number_of_races_reported,±0.5
"('Two races',)","Boston city, Massachusetts",4.30%,total_number_of_races_reported,±0.6
"('Two races',)","Charlotte city, North Carolina",2.40%,total_number_of_races_reported,±0.4
"('Two races',)","Chicago city, Illinois",2.30%,total_number_of_races_reported,±0.2
"('Two races',)","Columbus city, Ohio",3.60%,total_number_of_races_reported,±0.5
"('Two races',)","Dallas city, Texas",2.20%,total_number_of_races_reported,±0.4
"('Two races',)","Denver city, Colorado",3.30%,total_number_of_races_reported,±0.4
"('Two races',)","Detroit city, Michigan",1.60%,total_number_of_races_reported,±0.3
"('Two races',)","El Paso city, Texas",1.90%,total_number_of_races_reported,±0.5
"('Two races',)","Fort Worth city, Texas",2.70%,total_number_of_races_reported,±0.4
"('Two races',)","Fresno city, California",2.80%,total_number_of_races_reported,±0.5
"('Two races',)","Houston city, Texas",1.80%,total_number_of_races_reported,±0.2
"('Two races',)","Indianapolis city (balance), Indiana",2.60%,total_number_of_races_reported,±0.5
"('Two races',)","Jacksonville city, Florida",3.20%,total_number_of_races_reported,±0.5
"('Two races',)","Las Vegas city, Nevada",4.90%,total_number_of_races_reported,±0.6
"('Two races',)","Los Angeles city, California",3.10%,total_number_of_races_reported,±0.2
"('Two races',)","Memphis city, Tennessee",1.60%,total_number_of_races_reported,±0.4
"('Two races',)","Milwaukee city, Wisconsin",3.40%,total_number_of_races_reported,±0.6
"('Two races',)","New York city, New York",3.00%,total_number_of_races_reported,±0.2
"('Two races',)","Oklahoma City city, Oklahoma",6.20%,total_number_of_races_reported,±0.8
"('Two races',)","Philadelphia city, Pennsylvania",2.40%,total_number_of_races_reported,±0.4
"('Two races',)","Phoenix city, Arizona",3.00%,total_number_of_races_reported,±0.3
"('Two races',)","Portland city, Oregon",4.90%,total_number_of_races_reported,±0.6
"('Two races',)","San Antonio city, Texas",2.60%,total_number_of_races_reported,±0.4
"('Two races',)","San Diego city, California",4.60%,total_number_of_races_reported,±0.4
"('Two races',)","San Francisco city, California",4.20%,total_number_of_races_reported,±0.5
"('Two races',)","San Jose city, California",4.60%,total_number_of_races_reported,±0.5
"('Two races',)","Seattle city, Washington",5.80%,total_number_of_races_reported,±0.6
"('Two races',)","Tucson city, Arizona",3.70%,total_number_of_races_reported,±0.5
"('Two races',)","Washington city, District of Columbia",2.90%,total_number_of_races_reported,±0.4
"('Three races',)","Albuquerque city, New Mexico",0.30%,total_number_of_races_reported,±0.1
"('Three races',)","Austin city, Texas",0.30%,total_number_of_races_reported,±0.2
"('Three races',)","Baltimore city, Maryland",0.50%,total_number_of_races_reported,±0.3
"('Three races',)","Boston city, Massachusetts",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Charlotte city, North Carolina",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Chicago city, Illinois",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Columbus city, Ohio",0.30%,total_number_of_races_reported,±0.1
"('Three races',)","Dallas city, Texas",0.30%,total_number_of_races_reported,±0.1
"('Three races',)","Denver city, Colorado",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Detroit city, Michigan",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","El Paso city, Texas",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","Fort Worth city, Texas",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","Fresno city, California",0.50%,total_number_of_races_reported,±0.2
"('Three races',)","Houston city, Texas",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","Indianapolis city (balance), Indiana",0.20%,total_number_of_races_reported,±0.2
"('Three races',)","Jacksonville city, Florida",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Las Vegas city, Nevada",0.40%,total_number_of_races_reported,±0.1
"('Three races',)","Los Angeles city, California",0.30%,total_number_of_races_reported,±0.1
"('Three races',)","Memphis city, Tennessee",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Milwaukee city, Wisconsin",0.40%,total_number_of_races_reported,±0.3
"('Three races',)","New York city, New York",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Oklahoma City city, Oklahoma",0.40%,total_number_of_races_reported,±0.1
"('Three races',)","Philadelphia city, Pennsylvania",0.30%,total_number_of_races_reported,±0.1
"('Three races',)","Phoenix city, Arizona",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Portland city, Oregon",0.50%,total_number_of_races_reported,±0.2
"('Three races',)","San Antonio city, Texas",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","San Diego city, California",0.50%,total_number_of_races_reported,±0.1
"('Three races',)","San Francisco city, California",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","San Jose city, California",0.30%,total_number_of_races_reported,±0.1
"('Three races',)","Seattle city, Washington",0.50%,total_number_of_races_reported,±0.3
"('Three races',)","Tucson city, Arizona",0.30%,total_number_of_races_reported,±0.1
"('Three races',)","Washington city, District of Columbia",0.30%,total_number_of_races_reported,±0.1
"('Four or more races',)","Albuquerque city, New Mexico",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Austin city, Texas",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Baltimore city, Maryland",0.10%,total_number_of_races_reported,±0.1
"('Four or more races',)","Boston city, Massachusetts",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Charlotte city, North Carolina",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Chicago city, Illinois",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Columbus city, Ohio",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Dallas city, Texas",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Denver city, Colorado",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Detroit city, Michigan",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","El Paso city, Texas",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Fort Worth city, Texas",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Fresno city, California",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Houston city, Texas",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Indianapolis city (balance), Indiana",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Jacksonville city, Florida",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Las Vegas city, Nevada",0.10%,total_number_of_races_reported,±0.1
"('Four or more races',)","Los Angeles city, California",0.00%,total_number_of_races_reported,±0.1
